#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 153 (Div. 2),Dec/06/2012 19:30,243,2,118,1618,Expert
2,Codeforces Round 159 (Div. 2),Jan/08/2013 19:30,147,3,45,1663,Expert
3,Codeforces Round 177 (Div. 2),Apr/02/2013 19:30,45,4,81,1744,Expert
4,Codeforces Round 179 (Div. 1),Apr/11/2013 19:30,199,2,98,1842,Expert
5,Codeforces Round 180 (Div. 1),Apr/19/2013 19:30,351,1,-43,1799,Expert
6,Codeforces Round 187 (Div. 1),Jun/07/2013 19:30,418,1,-59,1740,Expert
7,Codeforces Round 198 (Div. 1),Aug/30/2013 19:30,338,2,5,1745,Expert
8,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,98,4,155,1900,Candidate Master
9,Codeforces Round 201 (Div. 1),Sep/20/2013 19:30,153,2,70,1970,Candidate Master
10,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,172,1,18,1988,Candidate Master
11,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,86,3,95,2083,Candidate Master
12,Codeforces Round 215 (Div. 1),Nov/26/2013 19:30,179,2,-22,2061,Candidate Master
13,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,76,3,94,2155,Master
14,Codeforces Round 228 (Div. 1),Feb/03/2014 19:40,27,3,126,2281,Master
15,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,44,3,41,2322,International Master
16,Coder-Strike 2014 - Round 1,Apr/18/2014 20:10,43,3,-85,2237,Master
17,Coder-Strike 2014 - Round 2,Apr/20/2014 11:00,5,4,-11,2226,Master
18,Coder-Strike 2014 - Finals,Apr/22/2014 16:20,1,4,30,2256,Master
19,Codeforces Round 286 (Div. 1),Jan/18/2015 16:00,382,0,-102,2154,Master
20,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,318,2,-58,2096,Candidate Master
21,Rockethon 2015,Feb/07/2015 20:00,411,5,5,2101,Master
