#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 549 (Div. 2),Mar/30/2019 20:10,2886,2,-67,1433,Specialist
2,Codeforces Round 550 (Div. 3),Mar/31/2019 17:05,4736,1,-115,1318,Pupil
3,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,4847,1,-77,1241,Pupil
4,Codeforces Round 565 (Div. 3),Jun/09/2019 17:35,3267,2,-27,1214,Pupil
5,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,3885,2,2,1216,Pupil
6,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,4345,1,-31,1185,Newbie
7,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,5331,1,-59,1126,Newbie
8,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,5948,1,-34,1092,Newbie
9,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,1916,3,164,1256,Pupil
10,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,2480,3,32,1288,Pupil
11,Codeforces Round 590 (Div. 3),Oct/01/2019 17:35,2148,3,45,1333,Pupil
12,Technocup 2020 - Elimination Round 2,Oct/26/2019 14:05,458,3,90,1423,Specialist
13,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,4677,1,-62,1361,Pupil
14,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,2361,3,41,1402,Specialist
15,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,1787,3,54,1456,Specialist
16,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,776,3,82,1538,Specialist
17,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,2731,2,-45,1493,Specialist
18,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,2118,2,4,1497,Specialist
19,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,2861,2,-34,1463,Specialist
20,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,3010,2,-16,1447,Specialist
21,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,1616,3,-2,1445,Specialist
22,Good Bye 2019,Dec/29/2019 17:05,4374,2,-23,1422,Specialist
23,Hello 2020,Jan/04/2020 15:05,3297,2,33,1455,Specialist
24,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,3095,2,10,1465,Specialist
25,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,5860,1,-79,1386,Pupil
26,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,1596,3,79,1465,Specialist
27,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,607,4,149,1614,Expert
28,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1658,3,21,1635,Expert
29,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,3243,2,-44,1591,Specialist
30,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,418,4,59,1650,Expert
31,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1199,3,-1,1649,Expert
32,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,3321,2,-40,1609,Expert
33,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,2519,2,-29,1580,Specialist
34,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,313,5,75,1655,Expert
35,Codeforces Global Round 7,Mar/19/2020 17:35,4068,3,-31,1624,Expert
