#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,4445,2,-47,1453,Specialist
2,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,2359,3,-2,1451,Specialist
3,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,1988,2,31,1482,Specialist
4,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,3999,2,-1,1481,Specialist
5,Codeforces Round 643 (Div. 2),May/16/2020 14:35,1229,4,117,1598,Specialist
6,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,1813,4,36,1634,Expert
7,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,588,4,104,1738,Expert
8,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,396,4,98,1836,Expert
9,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,83,4,155,1991,Candidate Master
10,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,288,5,38,2029,Candidate Master
11,Grakn Forces 2020,Sep/30/2020 17:35,2227,3,-83,1946,Candidate Master
12,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,205,3,53,1999,Candidate Master
13,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,651,5,47,2046,Candidate Master
14,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,29,4,125,2171,Master
15,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,681,1,-83,2088,Candidate Master
16,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,539,2,-11,2077,Candidate Master
17,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,1647,4,-86,1991,Candidate Master
18,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,54,5,110,2101,Master
19,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,557,1,-49,2052,Candidate Master
20,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,2195,2,-92,1960,Candidate Master
21,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,785,4,-6,1954,Candidate Master
22,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1766,3,-64,1890,Expert
23,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,39,5,143,2033,Candidate Master
24,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,408,3,9,2042,Candidate Master
25,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,627,3,-26,2016,Candidate Master
26,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,829,1,-61,1955,Candidate Master
27,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,522,3,11,1966,Candidate Master
28,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,822,4,21,1987,Candidate Master
29,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,27,5,156,2143,Master
30,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,770,2,-52,2091,Candidate Master
31,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,143,4,44,2135,Master
32,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,432,3,9,2144,Master
33,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,675,5,2,2146,Master
34,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,106,6,139,2285,Master
35,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,779,3,-78,2207,Master
36,Codeforces Global Round 18,Dec/24/2021 17:35,476,4,9,2216,Master
37,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,184,4,72,2288,Master
38,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,143,5,81,2369,International Master
39,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,125,3,53,2422,Grandmaster
40,Codeforces Global Round 21,Jun/25/2022 17:35,371,5,-15,2407,Grandmaster
41,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,169,3,22,2429,Grandmaster
42,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,35,6,143,2572,Grandmaster
