#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,1880,2,-16,1484,Specialist
2,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,18,7,273,1757,Expert
3,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,11,5,218,1975,Candidate Master
4,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,103,3,157,2132,Master
5,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,240,2,20,2152,Master
6,Hello 2020,Jan/04/2020 15:05,938,4,-29,2123,Master
7,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,250,3,46,2169,Master
8,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,728,2,-87,2082,Candidate Master
9,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,382,3,31,2113,Master
10,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,459,3,-3,2110,Master
11,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,210,3,68,2178,Master
12,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,146,3,115,2293,Master
13,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,284,2,-10,2283,Master
14,Good Bye 2020,Dec/30/2020 17:35,69,7,155,2438,Grandmaster
15,Hello 2022,Jan/03/2022 17:35,343,5,-11,2427,Grandmaster
16,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,141,4,31,2458,Grandmaster
17,Codeforces Global Round 22,Sep/30/2022 17:35,285,5,-12,2446,Grandmaster
18,Codeforces Global Round 23,Oct/15/2022 17:35,21,6,198,2644,International Grandmaster
