#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,2139,3,-18,1482,Specialist
2,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,8,6,327,1809,Expert
3,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,453,3,19,1828,Expert
4,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,263,5,104,1932,Candidate Master
5,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,546,5,38,1970,Candidate Master
6,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,784,4,9,1979,Candidate Master
7,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,1374,0,-98,1881,Expert
8,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,978,4,22,1903,Candidate Master
9,Codeforces Round 638 (Div. 2),May/01/2020 17:35,42,5,179,2082,Candidate Master
10,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,163,5,45,2127,Master
11,Codeforces Round 722 (Div. 1),May/24/2021 17:35,232,3,81,2208,Master
12,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2383,3,-133,2075,Candidate Master
13,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,23,5,138,2213,Master
14,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,155,6,94,2307,International Master
15,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,595,1,-65,2242,Master
16,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,762,4,-41,2201,Master
17,Codeforces Global Round 15,Jul/25/2021 17:35,492,5,16,2217,Master
18,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,216,3,73,2290,Master
19,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,125,4,85,2375,International Master
20,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,479,5,-26,2349,International Master
21,Codeforces Global Round 16,Sep/12/2021 17:35,392,6,-4,2345,International Master
22,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,515,0,-125,2220,Master
23,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,162,6,85,2305,International Master
24,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,293,3,16,2321,International Master
25,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,251,3,-17,2304,International Master
26,Codeforces Global Round 17,Nov/23/2021 17:35,849,3,-75,2229,Master
27,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,436,4,6,2235,Master
28,Codeforces Global Round 18,Dec/24/2021 17:35,240,5,59,2294,Master
29,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,356,5,27,2321,International Master
30,Hello 2022,Jan/03/2022 17:35,1091,4,-80,2241,Master
31,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,368,3,5,2246,Master
32,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,118,4,103,2349,International Master
33,Codeforces Global Round 19,Feb/12/2022 17:35,127,6,84,2433,Grandmaster
34,Hello 2023,Jan/03/2023 17:35,679,4,-63,2370,International Master
35,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,247,5,16,2386,International Master
36,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,668,4,-63,2323,International Master
37,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,225,6,28,2351,International Master
