#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Grakn Forces 2020,Sep/30/2020 17:35,603,2,732,732,Newbie
2,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,5,6,707,1439,Specialist
3,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,17,4,380,1819,Expert
4,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,1,6,393,2212,Master
5,Codeforces Global Round 13,Feb/28/2021 16:35,2753,1,-62,2150,Master
6,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,331,1,47,2197,Master
7,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,155,3,96,2293,Master
8,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,12,4,250,2543,Grandmaster
9,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,106,3,-3,2540,Grandmaster
10,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,51,3,99,2639,International Grandmaster
11,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,2407,1,-242,2397,International Master
12,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,76,5,103,2500,Grandmaster
13,Codeforces Global Round 19,Feb/12/2022 17:35,129,6,43,2543,Grandmaster
14,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,81,3,54,2597,Grandmaster
15,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,544,2,-102,2495,Grandmaster
16,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,63,6,101,2596,Grandmaster
17,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,146,1,-10,2586,Grandmaster
18,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,747,0,-168,2418,Grandmaster
19,Codeforces Global Round 21,Jun/25/2022 17:35,204,5,33,2451,Grandmaster
20,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,258,1,-25,2426,Grandmaster
21,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,124,6,62,2488,Grandmaster
22,Codeforces Global Round 22,Sep/30/2022 17:35,7440,0,-332,2156,Master
23,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,35,5,244,2400,Grandmaster
