#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 587 (Div. 3),Sep/21/2019 10:05,3819,2,-102,1398,Pupil
2,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,2224,3,72,1470,Specialist
3,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,7297,1,-69,1401,Specialist
4,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,539,4,189,1590,Specialist
5,Codeforces Global Round 10,Aug/16/2020 17:35,3801,3,-29,1561,Specialist
6,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,2957,3,-2,1559,Specialist
7,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,1766,3,46,1605,Expert
8,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,962,3,78,1683,Expert
9,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,3326,3,-55,1628,Expert
10,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,4685,3,-74,1554,Specialist
11,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,528,4,113,1667,Expert
12,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,342,5,122,1789,Expert
13,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,491,4,46,1835,Expert
14,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,67,4,106,1941,Candidate Master
15,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,257,3,63,2004,Candidate Master
16,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,2767,3,-97,1907,Candidate Master
17,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,2188,3,-67,1840,Expert
18,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,203,4,77,1917,Candidate Master
19,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,130,4,106,2023,Candidate Master
20,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,1794,4,-84,1939,Candidate Master
21,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,3510,2,-103,1836,Expert
22,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,153,4,111,1947,Candidate Master
23,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,396,3,19,1966,Candidate Master
24,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,539,1,-16,1950,Candidate Master
25,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,607,2,8,1958,Candidate Master
26,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,994,4,-35,1923,Candidate Master
27,Codeforces Global Round 14,May/02/2021 17:35,2275,4,-53,1870,Expert
28,Codeforces Round 723 (Div. 2),May/28/2021 17:05,558,4,27,1897,Expert
29,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,29,5,176,2073,Candidate Master
30,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,611,3,-26,2047,Candidate Master
31,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,568,5,32,2079,Candidate Master
32,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,5438,2,-169,1910,Candidate Master
33,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,114,5,113,2023,Candidate Master
