#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 481 (Div. 3),May/13/2018 12:05,2204,3,-73,1427,Specialist
2,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,2530,2,-31,1396,Pupil
3,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,2283,2,-32,1364,Pupil
4,Codeforces Round 515 (Div. 3),Oct/12/2018 17:35,117,5,173,1537,Specialist
5,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,966,3,22,1559,Specialist
6,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,206,4,147,1706,Expert
7,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,130,4,88,1794,Expert
8,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,1119,3,-45,1749,Expert
9,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,363,4,27,1776,Expert
10,Good Bye 2018,Dec/30/2018 17:35,1346,4,26,1802,Expert
11,Hello 2019,Jan/04/2019 17:45,1168,3,19,1821,Expert
12,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,2668,2,-114,1707,Expert
13,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,192,5,114,1821,Expert
14,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,142,5,59,1880,Expert
15,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,153,4,64,1944,Candidate Master
16,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,87,4,79,2023,Candidate Master
17,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,58,5,87,2110,Master
18,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,480,1,-78,2032,Candidate Master
19,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,252,3,42,2074,Candidate Master
20,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,751,3,-53,2021,Candidate Master
21,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,408,2,15,2036,Candidate Master
22,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,235,5,16,2052,Candidate Master
23,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,1183,4,-78,1974,Candidate Master
24,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,295,4,19,1993,Candidate Master
25,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,99,5,74,2067,Candidate Master
26,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,126,4,41,2108,Master
27,Hello 2020,Jan/04/2020 15:05,393,4,52,2160,Master
28,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,327,2,9,2169,Master
29,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,459,3,-12,2157,Master
30,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,200,5,75,2232,Master
31,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,154,4,70,2302,International Master
32,Codeforces Global Round 7,Mar/19/2020 17:35,592,5,-20,2282,Master
33,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,276,3,33,2315,International Master
34,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,766,2,-71,2244,Master
35,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,643,2,-33,2211,Master
36,Codeforces Global Round 9,Jul/04/2020 17:45,807,4,-3,2208,Master
37,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,170,4,82,2290,Master
38,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,392,1,-10,2280,Master
39,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,293,3,24,2304,International Master
40,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,336,3,-3,2301,International Master
41,Grakn Forces 2020,Sep/30/2020 17:35,222,5,48,2349,International Master
42,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,277,6,22,2371,International Master
43,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,230,3,-1,2370,International Master
44,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,119,3,50,2420,Grandmaster
45,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,272,2,-21,2399,International Master
46,Codeforces Global Round 12,Dec/06/2020 17:35,77,7,103,2502,Grandmaster
47,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,551,2,-99,2403,Grandmaster
48,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,160,3,22,2425,Grandmaster
49,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,560,2,-70,2355,International Master
50,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,486,2,-40,2315,International Master
51,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,119,4,76,2391,International Master
52,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,112,4,66,2457,Grandmaster
