#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,441,3,635,635,Newbie
2,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,895,3,396,1031,Newbie
3,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1540,3,290,1321,Pupil
4,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,306,3,245,1566,Specialist
5,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,145,5,250,1816,Expert
6,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,5666,1,-108,1708,Expert
7,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,529,5,126,1834,Expert
8,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,16,5,217,2051,Candidate Master
9,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,716,4,4,2055,Candidate Master
10,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,13,5,149,2204,Master
11,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,384,2,-18,2186,Master
12,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,200,5,77,2263,Master
