#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 674 (Div. 3),Sep/28/2020 11:05,2873,3,472,472,Newbie
2,Grakn Forces 2020,Sep/30/2020 17:35,6276,1,265,737,Newbie
3,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,7537,1,150,887,Newbie
4,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,5540,2,97,984,Newbie
5,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,8085,1,39,1023,Newbie
6,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,8834,2,5,1028,Newbie
7,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,7810,1,-26,1002,Newbie
8,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,3032,2,75,1077,Newbie
9,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,6239,1,6,1083,Newbie
10,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,2649,2,81,1164,Newbie
11,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,3020,2,48,1212,Pupil
12,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,5062,1,-69,1143,Newbie
13,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,5946,2,-21,1122,Newbie
14,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,4853,2,24,1146,Newbie
15,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,9156,1,-61,1085,Newbie
16,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,4691,3,36,1121,Newbie
17,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,3750,3,40,1161,Newbie
18,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,4560,1,45,1206,Pupil
19,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,6367,2,-4,1202,Pupil
20,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,4674,2,54,1256,Pupil
21,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,6352,2,-9,1247,Pupil
22,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,5029,1,-5,1242,Pupil
23,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,3726,3,50,1292,Pupil
24,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,4086,3,-13,1279,Pupil
25,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,6915,2,-58,1221,Pupil
26,Codeforces Round 719 (Div. 3),May/05/2021 17:35,2254,5,71,1292,Pupil
27,Codeforces Round 720 (Div. 2),May/07/2021 17:35,1842,2,112,1404,Specialist
28,Codeforces Round 721 (Div. 2),May/20/2021 17:35,6954,1,-50,1354,Pupil
29,Codeforces Round 722 (Div. 2),May/24/2021 17:35,6605,2,-38,1316,Pupil
30,Codeforces Round 723 (Div. 2),May/28/2021 17:05,3495,2,37,1353,Pupil
31,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,3632,3,24,1377,Pupil
32,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,4035,2,-8,1369,Pupil
33,Codeforces Round 725 (Div. 3),Jun/10/2021 17:35,436,5,125,1494,Specialist
34,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,4652,3,-24,1470,Specialist
35,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,4719,2,-45,1425,Specialist
36,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,2356,2,27,1452,Specialist
37,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,1008,3,105,1557,Specialist
38,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,2229,3,12,1569,Specialist
39,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,7612,2,-109,1460,Specialist
40,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2307,2,38,1498,Specialist
41,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,895,4,107,1605,Expert
42,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,732,4,59,1664,Expert
43,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,3254,2,-55,1609,Expert
44,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,264,4,147,1756,Expert
45,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,4686,1,-117,1639,Expert
46,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,814,5,42,1681,Expert
47,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,1911,3,-45,1636,Expert
48,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1704,3,17,1653,Expert
49,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,3299,3,-71,1582,Specialist
50,Codeforces Round 753 (Div. 3),Nov/02/2021 17:35,51,6,156,1738,Expert
51,Codeforces Global Round 17,Nov/23/2021 17:35,1195,3,30,1768,Expert
52,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,1146,3,-15,1753,Expert
53,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1097,4,33,1786,Expert
54,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,1746,3,-41,1745,Expert
55,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,998,3,31,1776,Expert
56,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,1364,3,-44,1732,Expert
57,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,2175,3,-55,1677,Expert
58,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,1476,3,-12,1665,Expert
59,Codeforces Global Round 18,Dec/24/2021 17:35,1375,3,46,1711,Expert
60,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,243,4,112,1823,Expert
61,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,72,4,142,1965,Candidate Master
62,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1285,4,-5,1960,Candidate Master
63,Hello 2022,Jan/03/2022 17:35,2191,3,-59,1901,Candidate Master
64,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,1017,3,-35,1866,Expert
65,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,605,4,13,1879,Expert
66,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,1279,4,-41,1838,Expert
67,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,370,4,35,1873,Expert
68,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,4279,2,-108,1765,Expert
69,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,136,4,123,1888,Expert
70,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,880,3,-6,1882,Expert
71,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,384,4,29,1911,Candidate Master
72,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,995,4,-34,1877,Expert
73,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,105,4,72,1949,Candidate Master
74,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,81,5,89,2038,Candidate Master
75,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1755,3,-85,1953,Candidate Master
76,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,129,4,74,2027,Candidate Master
77,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,725,3,-45,1982,Candidate Master
78,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,454,2,39,2021,Candidate Master
79,Codeforces Global Round 20,Apr/23/2022 17:05,2104,3,-100,1921,Candidate Master
80,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1686,3,-41,1880,Expert
81,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1635,3,-56,1824,Expert
82,Codeforces Round 794 (Div. 2),May/25/2022 20:35,209,4,42,1866,Expert
83,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,225,4,47,1913,Candidate Master
84,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,1083,3,-40,1873,Expert
