#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,125,5,675,675,Newbie
2,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,2390,3,347,1022,Newbie
3,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,125,5,448,1470,Specialist
4,Codeforces Global Round 12,Dec/06/2020 17:35,1519,3,164,1634,Expert
5,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,286,4,180,1814,Expert
6,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,313,4,118,1932,Candidate Master
7,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,320,2,89,2021,Candidate Master
8,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,133,4,69,2090,Candidate Master
9,Good Bye 2020,Dec/30/2020 17:35,1676,5,-44,2046,Candidate Master
10,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,13,5,185,2231,Master
11,Codeforces Global Round 13,Feb/28/2021 16:35,1132,4,-51,2180,Master
12,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,405,3,3,2183,Master
13,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,95,3,129,2312,International Master
14,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,2003,3,-132,2180,Master
15,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,574,2,-32,2148,Master
