#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,671,4,658,658,Newbie
2,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,2166,4,324,982,Newbie
3,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,147,5,429,1411,Specialist
4,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1947,3,126,1537,Specialist
5,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2227,3,96,1633,Expert
6,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,467,4,136,1769,Expert
7,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1416,3,-17,1752,Expert
8,Codeforces Global Round 16,Sep/12/2021 17:35,1043,6,61,1813,Expert
9,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,4230,2,-114,1699,Expert
10,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,262,3,76,1775,Expert
11,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,774,3,20,1795,Expert
12,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,138,6,111,1906,Candidate Master
13,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,435,4,5,1911,Candidate Master
14,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,715,4,40,1951,Candidate Master
15,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,469,5,-4,1947,Candidate Master
16,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,547,2,-34,1913,Candidate Master
17,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,65,5,131,2044,Candidate Master
18,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,746,2,-34,2010,Candidate Master
19,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,754,3,-42,1968,Candidate Master
20,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,538,1,-55,1913,Candidate Master
21,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,508,4,-19,1894,Expert
22,Codeforces Global Round 17,Nov/23/2021 17:35,837,3,27,1921,Candidate Master
23,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,504,3,2,1923,Candidate Master
24,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,857,4,17,1940,Candidate Master
25,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,337,4,27,1967,Candidate Master
26,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,156,4,138,2105,Master
27,Codeforces Global Round 18,Dec/24/2021 17:35,620,4,11,2116,Master
28,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,584,5,31,2147,Master
29,Hello 2022,Jan/03/2022 17:35,676,4,5,2152,Master
30,Codeforces Global Round 19,Feb/12/2022 17:35,1170,4,-51,2101,Master
31,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,734,1,-61,2040,Candidate Master
32,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,102,4,52,2092,Candidate Master
33,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,610,2,-42,2050,Candidate Master
34,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,220,4,11,2061,Candidate Master
35,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,347,4,-9,2052,Candidate Master
36,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,636,4,15,2067,Candidate Master
37,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,23,5,134,2201,Master
38,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1011,4,-47,2154,Master
39,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,673,1,-69,2085,Candidate Master
40,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,43,5,84,2169,Master
41,Codeforces Global Round 20,Apr/23/2022 17:05,467,6,24,2193,Master
42,Codeforces Round 789 (Div. 1),May/08/2022 17:35,525,3,-43,2150,Master
43,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,403,5,31,2181,Master
44,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,512,2,-51,2130,Master
45,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,525,2,-35,2095,Candidate Master
46,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,138,4,31,2126,Master
47,Codeforces Global Round 21,Jun/25/2022 17:35,931,4,-24,2102,Master
48,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,536,2,-18,2084,Candidate Master
49,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,18,6,143,2227,Master
50,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1050,4,-55,2172,Master
51,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,377,3,6,2178,Master
52,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,564,5,-31,2147,Master
53,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,253,5,70,2217,Master
54,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,440,4,-2,2215,Master
55,Codeforces Global Round 24,Nov/26/2022 17:05,484,4,-14,2201,Master
56,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,338,5,33,2234,Master
57,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,351,5,54,2288,Master
58,Hello 2023,Jan/03/2023 17:35,136,6,103,2391,International Master
59,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,357,5,-19,2372,International Master
