#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Technocup 2017 - Elimination Round 3,Dec/25/2016 12:05,207,2,18,1518,Specialist
2,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,3633,1,-93,1425,Specialist
3,Codeforces Round 402 (Div. 2),Feb/26/2017 11:05,527,4,84,1509,Specialist
4,Codeforces Round 408 (Div. 2),Apr/10/2017 19:35,1713,2,-34,1475,Specialist
5,"Codeforces Round 409 (rated, Div. 2, based on VK Cup 2017 Round 2)",Apr/16/2017 18:35,400,3,72,1547,Specialist
6,"Codeforces Round 412 (rated, Div. 2, base on VK Cup 2017 Round 3)",May/07/2017 18:45,123,3,131,1678,Expert
7,Codeforces Round 416 (Div. 2),May/27/2017 12:35,1884,1,-85,1593,Specialist
8,Codeforces Round 417 (Div. 2),Jun/01/2017 17:15,166,3,117,1710,Expert
9,Codeforces Round 418 (Div. 2),Jun/07/2017 15:15,314,3,39,1749,Expert
10,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,590,2,1,1750,Expert
11,"Manthan, Codefest 17",Sep/24/2017 17:35,479,2,47,1797,Expert
12,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Oct/05/2017 10:05,446,3,30,1827,Expert
13,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,262,3,6,1833,Expert
14,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,1478,3,-88,1745,Expert
15,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,258,4,122,1867,Expert
16,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,11,5,163,2030,Candidate Master
17,Hello 2019,Jan/04/2019 17:45,2457,3,-103,1927,Candidate Master
18,Codeforces Round 530 (Div. 1),Jan/05/2019 19:35,312,2,36,1963,Candidate Master
19,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,79,5,85,2048,Candidate Master
20,Codeforces Round 534 (Div. 1),Jan/22/2019 17:35,75,2,131,2179,Master
21,Hello 2020,Jan/04/2020 15:05,192,5,87,2266,Master
22,Codeforces Global Round 10,Aug/16/2020 17:35,369,5,17,2283,Master
23,Codeforces Global Round 11,Oct/10/2020 17:50,127,5,102,2385,International Master
24,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,359,3,-46,2339,International Master
25,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,360,2,-33,2306,International Master
26,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,789,1,-106,2200,Master
27,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,146,3,92,2292,Master
28,Codeforces Global Round 13,Feb/28/2021 16:35,249,5,58,2350,International Master
29,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,116,2,55,2405,Grandmaster
30,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,475,2,-66,2339,International Master
31,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,701,1,-98,2241,Master
32,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,240,4,65,2306,International Master
33,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,283,5,19,2325,International Master
34,VK Cup 2021 - Elimination (Engine),Jul/17/2021 17:35,37,6,90,2415,Grandmaster
35,Codeforces Global Round 16,Sep/12/2021 17:35,618,6,-57,2358,International Master
36,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,133,6,62,2420,Grandmaster
37,Hello 2022,Jan/03/2022 17:35,291,5,7,2427,Grandmaster
38,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,687,1,-110,2317,International Master
39,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,503,3,-63,2254,Master
40,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,72,6,145,2399,International Master
41,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,673,1,-112,2287,Master
42,Codeforces Round 789 (Div. 1),May/08/2022 17:35,130,4,77,2364,International Master
43,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,499,4,-39,2325,International Master
