#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Technocup 2019 - Elimination Round 2,Oct/21/2018 11:10,538,1,2,1502,Specialist
2,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1094,3,58,1560,Specialist
3,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,76,5,236,1796,Expert
4,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,1082,4,-8,1788,Expert
5,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,1331,3,-33,1755,Expert
6,Technocup 2020 - Elimination Round 2,Oct/26/2019 14:05,163,3,31,1786,Expert
7,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,412,4,29,1815,Expert
8,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,1493,3,-39,1776,Expert
9,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,315,4,75,1851,Expert
10,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,253,5,12,1863,Expert
11,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,164,4,56,1919,Candidate Master
12,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,513,4,5,1924,Candidate Master
13,Hello 2020,Jan/04/2020 15:05,4464,1,-124,1800,Expert
14,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,6,4,216,2016,Candidate Master
15,Технокубок 2020 - Финал,Mar/01/2020 13:10,354,3,-90,1926,Candidate Master
16,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,921,4,-23,1903,Candidate Master
17,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,312,4,57,1960,Candidate Master
18,Codeforces Global Round 7,Mar/19/2020 17:35,816,5,42,2002,Candidate Master
19,Codeforces Round 638 (Div. 2),May/01/2020 17:35,363,4,43,2045,Candidate Master
20,Codeforces Round 643 (Div. 2),May/16/2020 14:35,302,5,38,2083,Candidate Master
21,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,425,4,-5,2078,Candidate Master
22,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,51,4,117,2195,Master
23,Codeforces Global Round 9,Jul/04/2020 17:45,1216,4,-33,2162,Master
24,Codeforces Global Round 11,Oct/10/2020 17:50,1001,3,-30,2132,Master
25,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,315,3,-94,2038,Candidate Master
26,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,39,5,117,2155,Master
27,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,851,2,-81,2074,Candidate Master
28,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,657,3,-36,2038,Candidate Master
29,Технокубок 2021 - Финал,Mar/21/2021 13:20,65,5,63,2101,Master
30,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,939,2,-86,2015,Candidate Master
31,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,114,4,63,2078,Candidate Master
32,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,247,4,107,2185,Master
33,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,409,1,-27,2158,Master
34,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,40,4,11,2169,Master
35,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,319,2,-7,2162,Master
36,Codeforces Global Round 17,Nov/23/2021 17:35,573,4,-5,2157,Master
37,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,284,5,64,2221,Master
38,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,281,3,21,2242,Master
39,Codeforces Global Round 18,Dec/24/2021 17:35,691,3,-32,2210,Master
40,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,434,5,32,2242,Master
41,Hello 2022,Jan/03/2022 17:35,263,5,61,2303,International Master
42,Технокубок 2022 - Финал,Mar/20/2022 11:15,121,4,-68,2235,Master
43,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1714,3,-105,2130,Master
44,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,317,2,41,2171,Master
45,Codeforces Round 789 (Div. 1),May/08/2022 17:35,426,3,-11,2160,Master
46,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1552,3,-91,2069,Candidate Master
47,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,13,5,153,2222,Master
48,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,86,3,132,2354,International Master
49,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,729,4,-55,2299,Master
50,Codeforces Global Round 22,Sep/30/2022 17:35,332,5,16,2315,International Master
51,Codeforces Global Round 23,Oct/15/2022 17:35,1227,4,-91,2224,Master
52,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,407,4,11,2235,Master
53,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,464,4,-11,2224,Master
54,Codeforces Global Round 24,Nov/26/2022 17:05,636,4,-41,2183,Master
55,Hello 2023,Jan/03/2023 17:35,2348,3,-116,2067,Candidate Master
56,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,130,4,45,2112,Master
57,VK Cup 2022 - Отборочный раунд (Engine),Jan/15/2023 15:05,59,5,71,2183,Master
58,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,238,5,79,2262,Master
