#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 473 (Div. 2),Apr/03/2018 19:05,1898,2,-38,1462,Specialist
2,Educational Codeforces Round 41 (Rated for Div. 2),Apr/04/2018 17:05,1218,3,8,1470,Specialist
3,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,2062,1,-30,1440,Specialist
4,Educational Codeforces Round 42 (Rated for Div. 2),Apr/10/2018 17:35,609,4,79,1519,Specialist
5,"Codeforces Round 476 (Div. 2) [Thanks, Telegram!]",Apr/25/2018 20:35,525,2,23,1542,Specialist
6,Codeforces Round 484 (Div. 2),May/17/2018 19:35,2053,2,-48,1494,Specialist
7,Codeforces Round 486 (Div. 3),Jun/01/2018 17:35,45,4,171,1665,Expert
8,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1206,3,-23,1642,Expert
9,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,2186,2,-63,1579,Specialist
10,Codeforces Round 501 (Div. 3),Jul/31/2018 17:35,1079,3,-27,1552,Specialist
11,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,412,4,109,1661,Expert
12,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,1512,3,3,1664,Expert
13,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,2172,2,-32,1632,Expert
14,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1219,3,13,1645,Expert
15,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1360,4,14,1659,Expert
16,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,1596,3,-21,1638,Expert
17,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,852,3,28,1666,Expert
18,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,420,3,47,1713,Expert
19,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,640,4,-1,1712,Expert
20,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,1557,2,-44,1668,Expert
21,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,1099,3,4,1672,Expert
22,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,1068,2,-17,1655,Expert
23,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,834,4,59,1714,Expert
24,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2),Nov/04/2018 21:10,389,3,5,1719,Expert
25,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,3258,0,-156,1563,Specialist
26,Educational Codeforces Round 54 (Rated for Div. 2),Nov/12/2018 17:35,515,3,70,1633,Expert
