#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 19,Feb/12/2022 17:35,1607,4,610,610,Newbie
2,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,837,4,432,1042,Newbie
3,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,624,4,331,1373,Pupil
4,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,3321,2,75,1448,Specialist
5,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,1159,3,110,1558,Specialist
6,Codeforces Round 776 (Div. 3),Mar/08/2022 17:35,48,5,212,1770,Expert
7,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,388,4,56,1826,Expert
8,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,801,3,52,1878,Expert
9,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,248,4,59,1937,Candidate Master
10,Codeforces Round 789 (Div. 1),May/08/2022 17:35,604,3,-8,1929,Candidate Master
11,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,284,4,33,1962,Candidate Master
12,Codeforces Round 791 (Div. 2),May/14/2022 12:35,407,4,-2,1960,Candidate Master
13,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,553,4,53,2013,Candidate Master
14,Codeforces Round 793 (Div. 2),May/22/2022 17:35,122,4,59,2072,Candidate Master
15,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,2785,3,-137,1935,Candidate Master
16,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,185,4,57,1992,Candidate Master
17,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,981,3,-54,1938,Candidate Master
18,Codeforces Global Round 22,Sep/30/2022 17:35,553,4,69,2007,Candidate Master
19,Dytechlab Cup 2022,Oct/07/2022 17:35,698,3,13,2020,Candidate Master
20,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,315,4,5,2025,Candidate Master
21,Codeforces Global Round 23,Oct/15/2022 17:35,351,4,98,2123,Master
22,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,318,4,51,2174,Master
23,Codeforces Global Round 24,Nov/26/2022 17:05,401,4,14,2188,Master
24,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,883,4,-11,2177,Master
25,Hello 2023,Jan/03/2023 17:35,788,4,-14,2163,Master
26,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,636,4,-13,2150,Master
