#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 364 (Div. 2),Jul/22/2016 19:35,287,4,119,1619,Expert
2,Codeforces Round 369 (Div. 2),Aug/29/2016 15:05,76,4,156,1775,Expert
3,Codeforces Round 374 (Div. 2),Sep/30/2016 17:05,1030,2,-36,1739,Expert
4,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,1152,3,0,1739,Expert
5,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,1280,2,-29,1710,Expert
6,Codeforces Round 386 (Div. 2),Dec/18/2016 13:35,100,5,97,1807,Expert
7,Good Bye 2016,Dec/30/2016 17:15,481,4,93,1900,Candidate Master
8,Codeforces Round 402 (Div. 1),Feb/26/2017 11:05,252,2,23,1923,Candidate Master
9,"Codeforces Round 441 (Div. 1, by Moscow Team Olympiad)",Oct/16/2017 14:05,133,3,89,2012,Candidate Master
10,Codeforces Round 462 (Div. 1),Feb/14/2018 15:05,331,1,-18,1994,Candidate Master
11,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,275,4,46,2040,Candidate Master
12,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,67,3,117,2157,Master
13,Codeforces Round 469 (Div. 1),Mar/09/2018 11:10,18,5,181,2338,International Master
14,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,241,3,-89,2249,Master
15,Grakn Forces 2020,Sep/30/2020 17:35,278,5,47,2296,Master
16,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,299,3,-6,2290,Master
17,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,586,2,-68,2222,Master
18,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,144,3,77,2299,Master
19,Codeforces Global Round 12,Dec/06/2020 17:35,270,6,35,2334,International Master
20,Good Bye 2020,Dec/30/2020 17:35,290,6,39,2373,International Master
21,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,386,3,-38,2335,International Master
22,Codeforces Global Round 13,Feb/28/2021 16:35,279,5,37,2372,International Master
23,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,171,4,31,2403,Grandmaster
24,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,249,3,-3,2400,Grandmaster
25,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,161,6,36,2436,Grandmaster
26,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,383,1,-91,2345,International Master
27,Codeforces Global Round 19,Feb/12/2022 17:35,575,5,-35,2310,International Master
28,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,653,4,-51,2259,Master
29,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,2477,3,-146,2113,Master
30,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,673,4,-4,2109,Master
31,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1880,3,-62,2047,Candidate Master
32,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,408,5,69,2116,Master
