#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,1179,3,65,1565,Specialist
2,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,2059,3,23,1588,Specialist
3,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,514,5,117,1705,Expert
4,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,436,4,82,1787,Expert
5,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,541,4,14,1801,Expert
6,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,1663,3,-1,1800,Expert
7,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,664,3,-7,1793,Expert
8,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,967,4,8,1801,Expert
9,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,423,4,68,1869,Expert
10,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,1413,4,-6,1863,Expert
11,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,393,5,76,1939,Candidate Master
12,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1136,1,-54,1885,Expert
13,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,699,4,36,1921,Candidate Master
14,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1021,4,6,1927,Candidate Master
15,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,1162,2,-47,1880,Expert
16,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1352,3,1,1881,Expert
17,Codeforces Round 641 (Div. 2),May/12/2020 15:35,1278,3,-23,1858,Expert
18,Codeforces Round 643 (Div. 2),May/16/2020 14:35,2943,3,-52,1806,Expert
19,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,802,4,32,1838,Expert
20,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,369,5,81,1919,Candidate Master
21,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,1080,1,-48,1871,Expert
22,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,692,4,38,1909,Candidate Master
23,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,969,2,-18,1891,Expert
24,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,371,4,26,1917,Candidate Master
25,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,757,3,13,1930,Candidate Master
26,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,308,4,56,1986,Candidate Master
27,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1570,5,-64,1922,Candidate Master
28,Grakn Forces 2020,Sep/30/2020 17:35,689,4,62,1984,Candidate Master
29,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,2243,3,-71,1913,Candidate Master
30,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,295,4,44,1957,Candidate Master
31,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,1606,3,-69,1888,Expert
32,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,240,5,77,1965,Candidate Master
33,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,812,1,-73,1892,Expert
34,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,279,4,61,1953,Candidate Master
35,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,898,1,-33,1920,Candidate Master
36,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,78,5,111,2031,Candidate Master
37,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,43,4,117,2148,Master
38,Codeforces Global Round 14,May/02/2021 17:35,2633,4,-120,2028,Candidate Master
39,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,711,3,-27,2001,Candidate Master
40,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,168,2,154,2155,Master
41,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,319,5,51,2206,Master
42,Codeforces Global Round 15,Jul/25/2021 17:35,611,5,-4,2202,Master
43,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,102,4,129,2331,International Master
44,Codeforces Global Round 16,Sep/12/2021 17:35,261,6,33,2364,International Master
45,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,244,2,-27,2337,International Master
46,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,584,4,-48,2289,Master
