#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 426 (Div. 2),Jul/30/2017 17:35,3370,1,-80,1420,Specialist
2,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,3985,1,-96,1324,Pupil
3,Codeforces Round 428 (Div. 2),Aug/12/2017 17:35,4265,1,-70,1254,Pupil
4,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,4077,1,-61,1193,Newbie
5,AIM Tech Round 4 (Div. 2),Aug/24/2017 19:35,2869,1,-59,1134,Newbie
6,Codeforces Round 430 (Div. 2),Aug/29/2017 18:05,3004,1,39,1173,Newbie
7,Codeforces Round 431 (Div. 2),Sep/01/2017 16:35,1777,1,69,1242,Pupil
8,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,1862,1,47,1289,Pupil
9,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,1626,2,37,1326,Pupil
10,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,1128,3,64,1390,Pupil
11,Codeforces Round 435 (Div. 2),Sep/19/2017 18:05,2826,1,-59,1331,Pupil
12,"Codeforces Round 437 (Div. 2, based on MemSQL Start[c]UP 3.0 - Round 2)",Sep/30/2017 20:05,235,2,151,1482,Specialist
13,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,1371,3,-21,1461,Specialist
14,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,1904,1,-9,1452,Specialist
15,Codeforces Round 446 (Div. 2),Nov/17/2017 17:35,1178,2,24,1476,Specialist
16,Codeforces Round 447 (Div. 2),Nov/19/2017 16:55,27,3,251,1727,Expert
17,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,1673,2,-77,1650,Expert
18,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,1008,3,-21,1629,Expert
19,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,147,3,111,1740,Expert
20,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,422,3,27,1767,Expert
21,Codeforces Round 455 (Div. 2),Dec/27/2017 19:35,2187,1,-103,1664,Expert
22,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,128,5,101,1765,Expert
23,Good Bye 2017,Dec/29/2017 18:40,2793,2,-64,1701,Expert
24,Codeforces Round 456 (Div. 2),Jan/05/2018 17:35,1304,2,-41,1660,Expert
25,Hello 2018,Jan/08/2018 17:45,2953,2,-56,1604,Expert
26,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,1051,3,40,1644,Expert
27,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,685,2,19,1663,Expert
28,Codeforces Round 460 (Div. 2),Jan/31/2018 16:05,241,4,80,1743,Expert
29,Codeforces Round 461 (Div. 2),Feb/07/2018 20:15,208,4,57,1800,Expert
30,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,339,3,25,1825,Expert
31,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,23,5,141,1966,Candidate Master
32,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,384,1,-55,1911,Candidate Master
33,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,363,3,-16,1895,Expert
34,Educational Codeforces Round 39 (Rated for Div. 2),Mar/06/2018 18:05,81,4,48,1943,Candidate Master
35,Codeforces Round 469 (Div. 1),Mar/09/2018 11:10,397,2,-37,1906,Candidate Master
36,VK Cup 2018 - Round 1,Mar/10/2018 18:35,127,3,47,1953,Candidate Master
37,Codeforces Round 480 (Div. 2),May/08/2018 18:05,1441,2,-97,1856,Expert
38,"Codeforces Round 483 (Div. 2) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,94,4,65,1921,Candidate Master
39,Codeforces Round 484 (Div. 2),May/17/2018 19:35,88,4,88,2009,Candidate Master
40,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,76,5,66,2075,Candidate Master
41,Codeforces Round 485 (Div. 1),May/29/2018 18:35,242,2,6,2081,Candidate Master
42,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,1499,1,-136,1945,Candidate Master
43,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,171,5,42,1987,Candidate Master
44,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",Jun/24/2018 19:35,335,1,-35,1952,Candidate Master
45,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,92,5,65,2017,Candidate Master
46,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,887,3,-87,1930,Candidate Master
47,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,33,5,130,2060,Candidate Master
48,Codeforces Round 500 (Div. 1) [based on EJOI],Jul/30/2018 11:15,232,3,4,2064,Candidate Master
49,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,141,5,85,2149,Master
50,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,358,4,-6,2143,Master
51,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,220,4,34,2177,Master
52,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,389,5,-9,2168,Master
53,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),Nov/04/2018 21:10,170,3,-23,2145,Master
54,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,125,5,67,2212,Master
55,Codeforces Round 526 (Div. 1),Dec/10/2018 19:35,24,3,149,2361,International Master
56,Avito Cool Challenge 2018,Dec/16/2018 17:35,30,6,112,2473,Grandmaster
57,Good Bye 2018,Dec/30/2018 17:35,268,5,-23,2450,Grandmaster
58,Hello 2019,Jan/04/2019 17:45,243,4,-21,2429,Grandmaster
59,Codeforces Round 534 (Div. 1),Jan/22/2019 17:35,44,3,62,2491,Grandmaster
60,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,173,3,-73,2418,Grandmaster
61,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,105,2,-22,2396,International Master
62,Codeforces Global Round 2,Apr/06/2019 14:35,234,5,-15,2381,International Master
63,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,28,3,128,2509,Grandmaster
64,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,83,4,-17,2492,Grandmaster
65,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,67,3,14,2506,Grandmaster
66,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,85,3,0,2506,Grandmaster
67,Codeforces Global Round 4,Jul/20/2019 18:35,86,7,23,2529,Grandmaster
68,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,117,4,-22,2507,Grandmaster
69,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,56,6,51,2558,Grandmaster
70,Codeforces Global Round 5,Oct/16/2019 17:35,100,6,23,2581,Grandmaster
71,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,433,2,-134,2447,Grandmaster
72,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,56,4,26,2473,Grandmaster
73,Codeforces Global Round 6,Dec/17/2019 18:05,218,5,-18,2455,Grandmaster
74,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,63,3,46,2501,Grandmaster
75,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,211,3,-33,2468,Grandmaster
76,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,188,3,-22,2446,Grandmaster
77,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,700,1,-131,2315,International Master
78,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,92,3,86,2401,Grandmaster
79,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,54,5,101,2502,Grandmaster
80,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,58,3,28,2530,Grandmaster
81,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,28,4,112,2642,International Grandmaster
82,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,84,6,23,2665,International Grandmaster
83,Codeforces Global Round 7,Mar/19/2020 17:35,138,6,-8,2657,International Grandmaster
84,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,113,3,2,2659,International Grandmaster
85,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,173,3,-36,2623,International Grandmaster
86,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,322,3,-66,2557,Grandmaster
87,Codeforces Round 641 (Div. 1),May/12/2020 15:35,154,3,1,2558,Grandmaster
88,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,348,2,-70,2488,Grandmaster
89,Codeforces Global Round 8,Jun/18/2020 17:45,165,5,26,2514,Grandmaster
90,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,136,4,14,2528,Grandmaster
91,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,42,3,94,2622,International Grandmaster
92,Codeforces Global Round 10,Aug/16/2020 17:35,145,6,-9,2613,International Grandmaster
93,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,556,2,-107,2506,Grandmaster
94,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,92,4,41,2547,Grandmaster
95,Codeforces Global Round 11,Oct/10/2020 17:50,241,4,-12,2535,Grandmaster
96,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,55,6,81,2616,International Grandmaster
97,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,64,4,40,2656,International Grandmaster
98,Good Bye 2020,Dec/30/2020 17:35,77,7,47,2703,International Grandmaster
99,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,71,4,26,2729,International Grandmaster
100,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,107,4,-18,2711,International Grandmaster
101,Codeforces Global Round 15,Jul/25/2021 17:35,93,6,17,2728,International Grandmaster
102,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,543,2,-135,2593,Grandmaster
103,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,218,5,-10,2583,Grandmaster
104,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,237,3,-47,2536,Grandmaster
105,Codeforces Global Round 19,Feb/12/2022 17:35,241,6,-14,2522,Grandmaster
106,Codeforces Global Round 23,Oct/15/2022 17:35,142,5,37,2559,Grandmaster
107,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,457,4,-92,2467,Grandmaster
108,Codeforces Global Round 24,Nov/26/2022 17:05,400,4,-58,2409,Grandmaster
