#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 764 (Div. 3),Jan/10/2022 17:35,11,7,796,796,Newbie
2,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,448,3,424,1220,Pupil
3,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,1091,3,249,1469,Specialist
4,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,253,4,254,1723,Expert
5,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,42,5,254,1977,Candidate Master
6,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,108,4,126,2103,Master
7,Codeforces Global Round 19,Feb/12/2022 17:35,408,5,56,2159,Master
8,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,433,2,2,2161,Master
9,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,224,3,62,2223,Master
10,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,511,4,-9,2214,Master
11,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,216,5,82,2296,Master
12,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,419,2,-33,2263,Master
13,Codeforces Global Round 20,Apr/23/2022 17:05,252,6,56,2319,International Master
14,Codeforces Round 789 (Div. 1),May/08/2022 17:35,241,3,11,2330,International Master
15,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,215,5,36,2366,International Master
16,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,270,2,-19,2347,International Master
17,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,172,3,40,2387,International Master
18,Codeforces Global Round 21,Jun/25/2022 17:35,215,5,37,2424,Grandmaster
19,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,751,1,-125,2299,Master
20,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1959,3,-129,2170,Master
21,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,307,3,29,2199,Master
22,Codeforces Global Round 22,Sep/30/2022 17:35,292,5,52,2251,Master
23,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,410,4,-11,2240,Master
24,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,60,6,154,2394,International Master
25,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,664,4,-38,2356,International Master
26,Hello 2023,Jan/03/2023 17:35,148,6,78,2434,Grandmaster
27,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,395,5,-38,2396,International Master
28,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,777,4,-78,2318,International Master
29,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,108,7,91,2409,Grandmaster
