#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,932,4,668,668,Newbie
2,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,324,4,479,1147,Newbie
3,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,256,4,354,1501,Specialist
4,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,523,4,182,1683,Expert
5,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,42,4,227,1910,Candidate Master
6,Codeforces Global Round 20,Apr/23/2022 17:05,690,5,88,1998,Candidate Master
7,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,149,4,48,2046,Candidate Master
8,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,634,2,-51,1995,Candidate Master
9,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,1460,4,-75,1920,Candidate Master
10,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,214,4,56,1976,Candidate Master
11,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,338,2,81,2057,Candidate Master
12,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,77,5,78,2135,Master
13,Codeforces Global Round 24,Nov/26/2022 17:05,515,4,0,2135,Master
