#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,1083,3,593,593,Newbie
2,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,1503,3,371,964,Newbie
3,Codeforces Global Round 21,Jun/25/2022 17:35,1789,3,314,1278,Pupil
4,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,24,5,428,1706,Expert
5,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,597,3,109,1815,Expert
6,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,110,5,166,1981,Candidate Master
7,Codeforces Global Round 23,Oct/15/2022 17:35,397,4,99,2080,Candidate Master
8,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,500,4,-43,2037,Candidate Master
9,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,123,4,47,2084,Candidate Master
10,Codeforces Global Round 24,Nov/26/2022 17:05,432,4,30,2114,Master
11,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,632,4,37,2151,Master
12,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,445,5,24,2175,Master
13,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,528,2,-19,2156,Master
