#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,896,3,82,1582,Specialist
2,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,790,4,36,1618,Expert
3,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,1544,3,25,1643,Expert
4,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,1008,3,33,1676,Expert
5,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,883,4,32,1708,Expert
6,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,4752,2,-86,1622,Expert
7,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,2056,3,0,1622,Expert
8,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,1913,3,19,1641,Expert
9,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,2431,2,-63,1578,Specialist
10,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,3058,3,-28,1550,Specialist
11,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,1417,4,1,1551,Specialist
12,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,4723,2,-52,1499,Specialist
13,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2807,3,43,1542,Specialist
14,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,1822,3,21,1563,Specialist
15,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,3466,2,9,1572,Specialist
16,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,4508,3,-36,1536,Specialist
17,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,202,6,138,1674,Expert
18,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,1157,4,46,1720,Expert
19,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,1259,3,34,1754,Expert
20,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,3093,3,-22,1732,Expert
21,Codeforces Round 638 (Div. 2),May/01/2020 17:35,7141,2,-87,1645,Expert
22,Codeforces Round 643 (Div. 2),May/16/2020 14:35,6885,1,-79,1566,Specialist
23,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,713,4,124,1690,Expert
24,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,3053,4,-29,1661,Expert
25,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,2126,2,14,1675,Expert
26,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,5053,3,-71,1604,Expert
27,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,2294,3,17,1621,Expert
28,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,2663,2,-11,1610,Expert
29,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,795,4,68,1678,Expert
30,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,5454,2,-142,1536,Specialist
31,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,585,5,51,1587,Specialist
32,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,869,4,71,1658,Expert
