#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 481 (Div. 3),May/13/2018 12:05,731,5,10,1510,Specialist
2,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,2309,1,-72,1438,Specialist
3,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,896,2,69,1507,Specialist
4,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,825,3,70,1577,Specialist
5,Hello 2019,Jan/04/2019 17:45,2934,3,-13,1564,Specialist
6,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,3787,2,-82,1482,Specialist
7,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,1605,3,9,1491,Specialist
8,Codeforces Global Round 1,Feb/07/2019 16:35,2123,3,44,1535,Specialist
9,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,985,3,67,1602,Expert
10,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,1374,3,3,1605,Expert
11,Codeforces Global Round 2,Apr/06/2019 14:35,952,4,77,1682,Expert
12,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,426,4,74,1756,Expert
13,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,1795,3,-62,1694,Expert
14,Codeforces Round 559 (Div. 2),May/12/2019 17:35,563,3,1,1695,Expert
15,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,2525,2,-81,1614,Expert
16,Codeforces Global Round 3,Jun/01/2019 17:35,1746,2,1,1615,Expert
17,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,1305,2,-11,1604,Expert
18,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,716,3,59,1663,Expert
19,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,1541,2,-29,1634,Expert
20,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,730,3,13,1647,Expert
21,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,298,3,100,1747,Expert
22,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,1694,3,-60,1687,Expert
23,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,833,3,14,1701,Expert
24,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,2011,3,-47,1654,Expert
25,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,456,5,83,1737,Expert
26,Codeforces Global Round 4,Jul/20/2019 18:35,1663,4,-20,1717,Expert
27,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,545,4,52,1769,Expert
28,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,344,4,46,1815,Expert
29,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,257,3,61,1876,Expert
30,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1059,3,-41,1835,Expert
31,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1085,3,-10,1825,Expert
32,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,706,4,13,1838,Expert
33,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1351,3,-8,1830,Expert
34,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,665,4,1,1831,Expert
35,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,179,5,89,1920,Candidate Master
36,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,442,2,-64,1856,Expert
37,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,119,4,98,1954,Candidate Master
38,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,648,4,-19,1935,Candidate Master
39,Good Bye 2019,Dec/29/2019 17:05,2080,3,-56,1879,Expert
40,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,445,3,2,1881,Expert
41,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,1944,3,-70,1811,Expert
42,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,242,4,74,1885,Expert
43,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,501,3,1,1886,Expert
44,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,256,4,64,1950,Candidate Master
45,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,659,2,-27,1923,Candidate Master
46,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,828,2,-36,1887,Expert
47,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,2591,3,-75,1812,Expert
48,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,563,4,42,1854,Expert
49,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,790,4,10,1864,Expert
50,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,255,4,69,1933,Candidate Master
51,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,890,4,25,1958,Candidate Master
52,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,96,4,102,2060,Candidate Master
53,Codeforces Global Round 7,Mar/19/2020 17:35,1352,5,-26,2034,Candidate Master
54,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,642,4,2,2036,Candidate Master
55,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,553,2,36,2072,Candidate Master
56,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,79,5,99,2171,Master
57,Codeforces Round 641 (Div. 1),May/12/2020 15:35,655,3,-23,2148,Master
58,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,465,2,6,2154,Master
59,Codeforces Global Round 9,Jul/04/2020 17:45,588,4,36,2190,Master
60,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,520,3,-6,2184,Master
61,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,1071,1,-90,2094,Candidate Master
62,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,38,5,127,2221,Master
63,Codeforces Global Round 10,Aug/16/2020 17:35,200,6,73,2294,Master
64,Grakn Forces 2020,Sep/30/2020 17:35,209,6,55,2349,International Master
65,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,691,2,-112,2237,Master
66,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,618,2,-61,2176,Master
67,Good Bye 2020,Dec/30/2020 17:35,406,6,56,2232,Master
68,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,303,3,35,2267,Master
69,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,494,2,-21,2246,Master
70,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,514,3,-32,2214,Master
71,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,550,2,-44,2170,Master
72,Codeforces Global Round 14,May/02/2021 17:35,438,5,36,2206,Master
73,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,420,3,28,2234,Master
74,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,582,2,-47,2187,Master
75,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,150,6,98,2285,Master
76,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,540,2,-36,2249,Master
77,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,346,3,3,2252,Master
78,Codeforces Global Round 16,Sep/12/2021 17:35,144,7,100,2352,International Master
79,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,386,1,-75,2277,Master
80,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,275,5,28,2305,International Master
81,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,113,3,56,2361,International Master
82,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,121,3,80,2441,Grandmaster
83,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,298,3,-38,2403,Grandmaster
