#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,488,3,694,694,Newbie
2,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,269,5,511,1205,Pupil
3,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,786,3,278,1483,Specialist
4,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,727,3,159,1642,Expert
5,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,65,4,266,1908,Candidate Master
6,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,12,7,254,2162,Master
7,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,111,3,105,2267,Master
8,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,166,3,60,2327,International Master
9,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,714,4,-63,2264,Master
10,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,301,4,16,2280,Master
11,Codeforces Global Round 24,Nov/26/2022 17:05,174,6,59,2339,International Master
12,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,497,4,-34,2305,International Master
13,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,24,5,224,2529,Grandmaster
