#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,46,4,818,818,Newbie
2,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,12,8,537,1355,Pupil
3,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,5,7,501,1856,Expert
4,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,3,6,343,2199,Master
5,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,159,5,170,2369,International Master
6,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,38,7,197,2566,Grandmaster
7,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,149,5,13,2579,Grandmaster
8,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,40,6,87,2666,International Grandmaster
9,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,219,5,-49,2617,International Grandmaster
10,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,91,7,25,2642,International Grandmaster
