#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,3237,2,479,479,Newbie
2,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,4760,2,309,788,Newbie
3,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,3540,2,223,1011,Newbie
4,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,58,4,421,1432,Specialist
5,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,145,5,271,1703,Expert
6,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,221,4,135,1838,Expert
7,Codeforces Global Round 19,Feb/12/2022 17:35,1033,4,39,1877,Expert
8,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,644,4,-1,1876,Expert
9,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,266,5,54,1930,Candidate Master
10,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,501,3,33,1963,Candidate Master
11,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,212,4,44,2007,Candidate Master
12,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,894,3,-7,2000,Candidate Master
13,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,147,4,54,2054,Candidate Master
14,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,310,5,95,2149,Master
15,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,157,3,103,2252,Master
16,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,382,4,2,2254,Master
