#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,689,3,607,607,Newbie
2,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,1492,2,372,979,Newbie
3,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,1876,3,285,1264,Pupil
4,Good Bye 2020,Dec/30/2020 17:35,3318,4,165,1429,Specialist
5,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,3698,3,65,1494,Specialist
6,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,5911,1,-12,1482,Specialist
7,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,1463,3,65,1547,Specialist
8,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,1179,3,69,1616,Expert
9,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1000,3,46,1662,Expert
10,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1325,4,36,1698,Expert
11,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,2610,3,-32,1666,Expert
12,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,4338,2,-68,1598,Specialist
13,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,575,3,110,1708,Expert
14,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,4390,2,-83,1625,Expert
15,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1816,3,21,1646,Expert
16,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,869,3,53,1699,Expert
17,Codeforces Global Round 13,Feb/28/2021 16:35,2386,3,1,1700,Expert
18,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,1450,2,-2,1698,Expert
19,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,1668,3,-24,1674,Expert
20,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,36,3,191,1865,Expert
21,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,1481,2,-73,1792,Expert
22,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,325,4,52,1844,Expert
23,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,4680,2,-130,1714,Expert
24,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,2049,3,-24,1690,Expert
25,Codeforces Global Round 14,May/02/2021 17:35,1773,4,31,1721,Expert
26,Codeforces Round 720 (Div. 2),May/07/2021 17:35,1469,2,9,1730,Expert
27,Codeforces Round 722 (Div. 2),May/24/2021 17:35,769,3,26,1756,Expert
28,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1783,3,3,1759,Expert
29,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,1055,4,14,1773,Expert
30,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,5056,2,-118,1655,Expert
31,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,595,5,90,1745,Expert
32,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,3360,2,-79,1666,Expert
