#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 310 (Div. 2),Jun/27/2015 17:10,246,3,202,1702,Expert
2,Codeforces Round 323 (Div. 2),Oct/03/2015 19:45,638,3,6,1708,Expert
3,Codeforces Round 327 (Div. 2),Oct/25/2015 12:00,464,3,17,1725,Expert
4,Codeforces Round 329 (Div. 2),Nov/04/2015 19:45,261,2,54,1779,Expert
5,Codeforces Round 435 (Div. 2),Sep/19/2017 18:05,1395,2,-70,1709,Expert
6,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,612,3,-15,1694,Expert
7,Codeforces Round 446 (Div. 2),Nov/17/2017 17:35,562,3,11,1705,Expert
8,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,1484,3,-74,1631,Expert
9,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,617,1,18,1649,Expert
10,Codeforces Round 449 (Div. 2),Dec/02/2017 17:05,372,3,24,1673,Expert
11,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,54,4,139,1812,Expert
12,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,251,3,18,1830,Expert
13,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,650,3,-28,1802,Expert
14,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,811,3,-29,1773,Expert
15,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,189,4,47,1820,Expert
16,Good Bye 2017,Dec/29/2017 18:40,1967,3,-42,1778,Expert
17,Codeforces Round 456 (Div. 2),Jan/05/2018 17:35,2643,1,-111,1667,Expert
18,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,508,3,23,1690,Expert
19,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,1044,2,18,1708,Expert
20,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,278,3,55,1763,Expert
21,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,47,4,137,1900,Candidate Master
22,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),Apr/17/2018 17:05,365,1,-23,1877,Expert
23,Codeforces Round 485 (Div. 2),May/29/2018 18:35,78,5,68,1945,Candidate Master
24,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,464,1,-47,1898,Expert
25,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,636,4,-3,1895,Expert
26,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,440,3,-6,1889,Expert
27,Codeforces Global Round 2,Apr/06/2019 14:35,133,5,165,2054,Candidate Master
28,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,133,4,33,2087,Candidate Master
29,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,182,2,70,2157,Master
30,Codeforces Round 562 (Div. 1),May/26/2019 18:35,170,3,23,2180,Master
31,Codeforces Round 564 (Div. 1),Jun/07/2019 15:05,305,2,-29,2151,Master
32,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,259,3,8,2159,Master
33,Codeforces Global Round 4,Jul/20/2019 18:35,887,5,-64,2095,Candidate Master
34,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,202,3,-1,2094,Candidate Master
35,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,94,5,51,2145,Master
36,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,414,2,-27,2118,Master
37,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,593,4,-10,2108,Master
38,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,141,2,73,2181,Master
39,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,418,3,-43,2138,Master
40,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,205,5,18,2156,Master
41,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,604,1,-80,2076,Candidate Master
42,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,534,3,-5,2071,Candidate Master
43,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,9,5,180,2251,Master
44,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,499,3,-45,2206,Master
45,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,553,1,-72,2134,Master
46,Codeforces Global Round 7,Mar/19/2020 17:35,770,5,2,2136,Master
47,Codeforces Global Round 9,Jul/04/2020 17:45,1192,4,-16,2120,Master
48,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,797,1,-45,2075,Candidate Master
49,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,127,5,62,2137,Master
50,Codeforces Global Round 10,Aug/16/2020 17:35,328,6,60,2197,Master
51,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,873,2,-62,2135,Master
52,Grakn Forces 2020,Sep/30/2020 17:35,274,6,80,2215,Master
53,Good Bye 2020,Dec/30/2020 17:35,757,6,-5,2210,Master
54,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,371,3,22,2232,Master
55,Codeforces Global Round 22,Sep/30/2022 17:35,743,4,-34,2198,Master
56,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,368,5,60,2258,Master
