#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 374 (Div. 2),Sep/30/2016 17:05,1248,2,22,1522,Specialist
2,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,3238,0,-120,1402,Specialist
3,Codeforces Round 395 (Div. 2),Feb/02/2017 16:35,2048,2,-8,1394,Pupil
4,"Codeforces Round 403 (Div. 2, based on Technocup 2017 Finals)",Mar/05/2017 16:05,1008,2,47,1441,Specialist
5,"Codeforces Round 405 (rated, Div. 2, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,965,2,34,1475,Specialist
6,Codeforces Round 415 (Div. 2),May/20/2017 21:05,676,2,30,1505,Specialist
7,Codeforces Round 416 (Div. 2),May/27/2017 12:35,1525,2,-26,1479,Specialist
8,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,1047,2,33,1512,Specialist
9,Codeforces Round 460 (Div. 2),Jan/31/2018 16:05,386,4,100,1612,Expert
10,Educational Codeforces Round 37 (Rated for Div. 2),Feb/02/2018 17:35,54,5,168,1780,Expert
11,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,1356,2,-53,1727,Expert
12,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,700,3,42,1769,Expert
13,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,1729,2,-86,1683,Expert
14,Codeforces Round 464 (Div. 2),Feb/17/2018 13:05,331,4,41,1724,Expert
15,Codeforces Round 465 (Div. 2),Feb/19/2018 19:35,380,3,27,1751,Expert
16,"Codeforces Round 472 (rated, Div. 2, based on VK Cup 2018 Round 2)",Mar/24/2018 18:35,356,3,14,1765,Expert
17,"Codeforces Round 477 (rated, Div. 2, based on VK Cup 2018 Round 3)",Apr/29/2018 16:15,324,3,4,1769,Expert
18,Educational Codeforces Round 43 (Rated for Div. 2),Apr/30/2018 17:40,144,3,65,1834,Expert
19,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,120,5,88,1922,Candidate Master
20,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,704,4,-17,1905,Candidate Master
21,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,149,3,64,1969,Candidate Master
22,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1444,3,-55,1914,Candidate Master
23,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,247,5,69,1983,Candidate Master
24,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,2669,3,-91,1892,Expert
25,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,316,4,33,1925,Candidate Master
26,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,1502,3,-69,1856,Expert
27,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,12,5,221,2077,Candidate Master
28,Codeforces Global Round 20,Apr/23/2022 17:05,1348,4,-63,2014,Candidate Master
29,Codeforces Round 789 (Div. 1),May/08/2022 17:35,497,3,9,2023,Candidate Master
30,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,610,4,-28,1995,Candidate Master
31,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,185,4,43,2038,Candidate Master
32,Codeforces Round 837 (Div. 2),Dec/11/2022 18:35,210,4,25,2063,Candidate Master
33,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,26,5,118,2181,Master
34,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1442,3,-54,2127,Master
