#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,4134,1,-103,1397,Pupil
2,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,6017,1,-107,1290,Pupil
3,Codeforces Round 587 (Div. 3),Sep/21/2019 10:05,4509,1,-99,1191,Newbie
4,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,3424,2,31,1222,Pupil
5,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,4606,1,-19,1203,Pupil
6,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,6102,1,-77,1126,Newbie
7,Codeforces Round 595 (Div. 3),Oct/22/2019 17:35,5678,1,-35,1091,Newbie
8,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,4015,2,53,1144,Newbie
9,Codeforces Round 598 (Div. 3),Nov/04/2019 16:15,3634,1,33,1177,Newbie
10,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,4043,2,-3,1174,Newbie
11,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,3407,1,19,1193,Newbie
12,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,4295,1,-35,1158,Newbie
13,Codeforces Global Round 6,Dec/17/2019 18:05,3770,2,30,1188,Newbie
14,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,3826,1,8,1196,Newbie
15,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,3495,1,2,1198,Newbie
16,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,4017,1,-13,1185,Newbie
17,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,6099,1,-63,1122,Newbie
18,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,2064,2,75,1197,Newbie
19,Good Bye 2019,Dec/29/2019 17:05,4366,2,45,1242,Pupil
20,Hello 2020,Jan/04/2020 15:05,4606,1,32,1274,Pupil
21,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,3469,2,30,1304,Pupil
22,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,2431,2,58,1362,Pupil
23,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,3457,2,-1,1361,Pupil
24,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,4949,2,-29,1332,Pupil
25,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,3350,1,34,1366,Pupil
26,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,4479,1,-23,1343,Pupil
27,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,4081,2,-9,1334,Pupil
28,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,5066,2,-25,1309,Pupil
29,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,3346,2,50,1359,Pupil
30,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,4098,2,0,1359,Pupil
31,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,3554,2,13,1372,Pupil
32,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,1862,3,-9,1363,Pupil
33,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,1288,3,51,1414,Specialist
34,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,2167,2,12,1426,Specialist
35,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,4701,2,-37,1389,Pupil
36,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,1610,3,41,1430,Specialist
37,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,3929,2,-19,1411,Specialist
38,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,3085,3,-17,1394,Pupil
39,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,3833,2,10,1404,Specialist
40,Codeforces Global Round 7,Mar/19/2020 17:35,2537,4,90,1494,Specialist
41,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,908,4,131,1625,Expert
42,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2996,3,7,1632,Expert
43,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,2241,2,7,1639,Expert
44,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,5627,2,-54,1585,Specialist
