#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,2434,2,552,552,Newbie
2,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,328,6,466,1018,Newbie
3,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,3413,2,227,1245,Pupil
4,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,529,4,251,1496,Specialist
5,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,303,4,203,1699,Expert
6,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,6343,2,-96,1603,Expert
7,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1895,2,3,1606,Expert
8,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,455,3,99,1705,Expert
9,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,610,4,56,1761,Expert
10,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,3180,3,-72,1689,Expert
11,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,646,4,51,1740,Expert
12,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,219,4,121,1861,Expert
13,Codeforces Global Round 19,Feb/12/2022 17:35,1977,4,-30,1831,Expert
14,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,513,4,36,1867,Expert
15,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,138,5,95,1962,Candidate Master
16,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,794,0,-89,1873,Expert
17,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,155,5,95,1968,Candidate Master
18,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,365,4,18,1986,Candidate Master
19,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,393,5,93,2079,Candidate Master
20,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,105,4,61,2140,Master
21,Codeforces Global Round 23,Oct/15/2022 17:35,435,4,47,2187,Master
22,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,866,3,-95,2092,Candidate Master
23,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,347,3,55,2147,Master
