#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 5,Oct/16/2019 17:35,5663,1,-89,1411,Specialist
2,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,1666,4,76,1487,Specialist
3,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,2538,3,7,1494,Specialist
4,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,6486,2,-69,1425,Specialist
5,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,755,5,72,1497,Specialist
6,Codeforces Global Round 16,Sep/12/2021 17:35,1574,5,83,1580,Specialist
7,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,892,3,70,1650,Expert
8,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,5572,1,-144,1506,Specialist
9,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,2205,2,8,1514,Specialist
10,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,900,5,70,1584,Specialist
11,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,1121,4,25,1609,Expert
12,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,297,4,136,1745,Expert
13,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,921,4,-5,1740,Expert
14,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,1042,3,3,1743,Expert
15,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,490,4,28,1771,Expert
16,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,2006,3,-57,1714,Expert
17,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,793,4,80,1794,Expert
18,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,1548,3,-35,1759,Expert
19,Codeforces Global Round 18,Dec/24/2021 17:35,897,3,65,1824,Expert
20,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,291,4,69,1893,Expert
21,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,60,5,112,2005,Candidate Master
22,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,636,2,-21,1984,Candidate Master
23,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,618,4,-20,1964,Candidate Master
24,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,951,3,-29,1935,Candidate Master
25,Codeforces Global Round 19,Feb/12/2022 17:35,883,4,29,1964,Candidate Master
26,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,151,5,58,2022,Candidate Master
27,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,104,4,56,2078,Candidate Master
28,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,101,4,50,2128,Master
29,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,3087,3,-139,1989,Candidate Master
30,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,452,4,-10,1979,Candidate Master
31,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,82,4,88,2067,Candidate Master
32,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,778,1,-81,1986,Candidate Master
33,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,180,5,41,2027,Candidate Master
34,Codeforces Global Round 20,Apr/23/2022 17:05,534,5,48,2075,Candidate Master
35,Codeforces Round 788 (Div. 2),May/06/2022 17:35,43,5,86,2161,Master
36,Codeforces Round 794 (Div. 1),May/25/2022 20:35,369,2,-42,2119,Master
37,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,595,2,-64,2055,Candidate Master
38,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,2722,3,-131,1924,Candidate Master
39,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,599,3,-6,1918,Candidate Master
40,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,60,5,123,2041,Candidate Master
41,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,111,4,62,2103,Master
42,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,298,5,84,2187,Master
43,Codeforces Global Round 22,Sep/30/2022 17:35,470,4,17,2204,Master
44,Dytechlab Cup 2022,Oct/07/2022 17:35,181,5,84,2288,Master
45,Codeforces Global Round 23,Oct/15/2022 17:35,482,4,-1,2287,Master
46,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,99,5,77,2364,International Master
47,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,457,4,-34,2330,International Master
48,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,319,4,-2,2328,International Master
49,Codeforces Global Round 24,Nov/26/2022 17:05,240,5,19,2347,International Master
50,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,161,6,53,2400,Grandmaster
51,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,432,5,-45,2355,International Master
