#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,989,3,629,629,Newbie
2,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,4839,2,302,931,Newbie
3,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,2488,2,271,1202,Pupil
4,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,775,4,240,1442,Specialist
5,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,813,3,182,1624,Expert
6,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,4522,2,-43,1581,Specialist
7,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1762,3,16,1597,Specialist
8,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1757,3,47,1644,Expert
9,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,705,4,69,1713,Expert
10,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,681,4,49,1762,Expert
11,Codeforces Global Round 16,Sep/12/2021 17:35,2059,5,-15,1747,Expert
12,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,4188,1,-132,1615,Expert
13,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,478,4,80,1695,Expert
14,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,661,4,106,1801,Expert
15,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,530,5,27,1828,Expert
16,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,905,3,-50,1778,Expert
17,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,319,4,66,1844,Expert
18,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,666,3,0,1844,Expert
19,Codeforces Global Round 18,Dec/24/2021 17:35,1047,3,28,1872,Expert
20,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,323,4,49,1921,Candidate Master
21,Hello 2022,Jan/03/2022 17:35,1689,3,-24,1897,Expert
22,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,1670,2,-67,1830,Expert
23,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,346,4,56,1886,Expert
24,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,820,4,-18,1868,Expert
25,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,711,3,-2,1866,Expert
26,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,3580,2,-93,1773,Expert
27,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,2966,3,-72,1701,Expert
28,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,938,3,39,1740,Expert
29,Codeforces Global Round 19,Feb/12/2022 17:35,2382,3,-19,1721,Expert
30,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,181,4,118,1839,Expert
31,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,728,4,3,1842,Expert
32,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,1149,3,-31,1811,Expert
33,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,486,4,37,1848,Expert
34,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,884,3,35,1883,Expert
35,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,712,3,-6,1877,Expert
