#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,8609,1,407,407,Newbie
2,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2598,2,430,837,Newbie
3,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,6000,1,151,988,Newbie
4,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1095,4,321,1309,Pupil
5,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,901,3,136,1445,Specialist
6,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,1149,4,119,1564,Specialist
7,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,658,3,59,1623,Expert
8,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,2684,3,-32,1591,Specialist
9,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1242,3,43,1634,Expert
10,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,235,4,151,1785,Expert
11,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,163,5,115,1900,Candidate Master
12,Codeforces Global Round 22,Sep/30/2022 17:35,536,4,82,1982,Candidate Master
13,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,821,3,-54,1928,Candidate Master
14,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,309,5,119,2047,Candidate Master
15,Codeforces Round 852 (Div. 2),Feb/12/2023 11:35,53,5,97,2144,Master
