#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 273 (Div. 2),Oct/16/2014 19:40,463,2,190,1690,Expert
2,Codeforces Round 275 (Div. 2),Oct/24/2014 21:00,1991,0,-96,1594,Specialist
3,Codeforces Round 281 (Div. 2),Dec/03/2014 18:00,1502,0,-92,1502,Specialist
4,Codeforces Round 282 (Div. 2),Dec/13/2014 19:30,1540,1,-101,1401,Specialist
5,Codeforces Round 283 (Div. 2),Dec/17/2014 19:30,1185,2,-28,1373,Pupil
6,Codeforces Round 284 (Div. 2),Dec/24/2014 19:30,1097,2,22,1395,Pupil
7,Good Bye 2014,Dec/30/2014 18:00,2412,1,42,1437,Specialist
8,Codeforces Round 285 (Div. 2),Jan/12/2015 12:00,807,2,-48,1389,Pupil
9,Codeforces Round 286 (Div. 2),Jan/18/2015 16:00,1493,0,-89,1300,Pupil
10,Codeforces Round 287 (Div. 2),Jan/23/2015 19:00,1420,1,17,1317,Pupil
11,Codeforces Round 288 (Div. 2),Jan/27/2015 19:30,1333,2,25,1342,Pupil
12,"Codeforces Round 289 (Div. 2, ACM ICPC Rules)",Jan/31/2015 15:00,311,2,236,1578,Specialist
13,Codeforces Round 290 (Div. 2),Feb/02/2015 19:30,1133,1,-95,1483,Specialist
14,Codeforces Round 291 (Div. 2),Feb/14/2015 19:30,621,2,59,1542,Specialist
15,Codeforces Round 292 (Div. 2),Feb/17/2015 19:35,2051,1,-85,1457,Specialist
16,Codeforces Round 293 (Div. 2),Feb/24/2015 19:30,390,3,149,1606,Expert
17,Codeforces Round 294 (Div. 2),Feb/28/2015 16:00,867,3,-70,1536,Specialist
18,Codeforces Round 295 (Div. 2),Mar/02/2015 10:00,344,2,33,1569,Specialist
19,Codeforces Round 296 (Div. 2),Mar/17/2015 19:45,1703,1,-88,1481,Specialist
20,VK Cup 2015 - Round 1,Mar/21/2015 17:00,648,0,-46,1435,Specialist
21,Codeforces Round 297 (Div. 2),Mar/26/2015 19:30,203,2,211,1646,Expert
22,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,1414,2,-14,1632,Expert
23,Codeforces Round 298 (Div. 2),Apr/12/2015 19:00,1002,2,-95,1537,Specialist
24,Codeforces Round 300,Apr/26/2015 19:00,1665,2,8,1545,Specialist
25,Codeforces Round 301 (Div. 2),Apr/30/2015 19:30,199,2,132,1677,Expert
26,Codeforces Round 302 (Div. 2),May/07/2015 19:30,1368,1,-92,1585,Specialist
27,Codeforces Round 303 (Div. 2),May/19/2015 19:30,19,5,160,1745,Expert
28,Codeforces Round 305 (Div. 1),May/26/2015 19:35,548,1,33,1778,Expert
29,Looksery Cup 2015,Jun/06/2015 16:00,1821,1,-77,1701,Expert
30,Codeforces Round 310 (Div. 1),Jun/27/2015 17:10,1033,0,-80,1621,Expert
31,Codeforces Round 311 (Div. 2),Jun/30/2015 18:00,79,3,119,1740,Expert
32,Codeforces Round 324 (Div. 2),Oct/06/2015 19:30,967,3,-26,1714,Expert
33,Codeforces Round 325 (Div. 2),Oct/12/2015 12:10,507,3,-5,1709,Expert
34,Codeforces Round 326 (Div. 2),Oct/15/2015 19:30,630,3,-9,1700,Expert
35,Codeforces Round 328 (Div. 2),Oct/31/2015 19:30,1347,2,-50,1650,Expert
36,Codeforces Round 329 (Div. 2),Nov/04/2015 19:45,1152,1,-30,1620,Expert
37,Codeforces Round 331 (Div. 2),Nov/15/2015 19:35,1293,2,-49,1571,Specialist
38,Codeforces Round 332 (Div. 2),Nov/20/2015 19:35,265,3,86,1657,Expert
39,Codeforces Round 333 (Div. 2),Nov/24/2015 19:35,68,3,146,1803,Expert
40,Codeforces Round 334 (Div. 2),Dec/01/2015 18:35,742,2,-45,1758,Expert
41,Codeforces Round 336 (Div. 2),Dec/23/2015 19:35,369,3,16,1774,Expert
42,Codeforces Round 337 (Div. 2),Dec/27/2015 14:20,1032,2,-68,1706,Expert
43,Good Bye 2015,Dec/30/2015 18:05,1762,3,-22,1684,Expert
44,Codeforces Round 338 (Div. 2),Jan/08/2016 17:05,407,2,33,1717,Expert
45,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Jan/29/2016 20:10,1724,2,-48,1669,Expert
46,Codeforces Round 341 (Div. 2),Jan/31/2016 17:05,1211,2,-31,1638,Expert
47,AIM Tech Round (Div. 2),Feb/04/2016 20:05,80,3,144,1782,Expert
48,Codeforces Round 342 (Div. 2),Feb/07/2016 12:05,249,2,26,1808,Expert
49,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,1382,2,-66,1742,Expert
50,Codeforces Round 343 (Div. 2),Feb/20/2016 19:35,322,2,20,1762,Expert
51,8VC Venture Cup 2016 - Final Round (Div. 2 Edition),Feb/28/2016 21:10,296,3,-10,1752,Expert
52,Codeforces Round 344 (Div. 2),Mar/03/2016 19:35,95,3,85,1837,Expert
53,Codeforces Round 345 (Div. 2),Mar/07/2016 12:25,606,3,-45,1792,Expert
54,CROC 2016 - Elimination Round,Mar/18/2016 19:35,362,3,-7,1785,Expert
55,IndiaHacks 2016 - Online Edition (Div. 1 + Div. 2),Mar/19/2016 11:35,648,2,-18,1767,Expert
56,Технокубок 2016 - Отборочный Раунд 2,Mar/26/2016 10:00,6,5,176,1943,Candidate Master
57,VK Cup 2016 - Round 1,Mar/28/2016 19:35,129,2,77,2020,Candidate Master
58,VK Cup 2016 - Round 2,Apr/24/2016 19:35,370,1,-110,1910,Candidate Master
59,Codeforces Round 349 (Div. 1),Apr/29/2016 19:35,320,0,-92,1818,Expert
60,Codeforces Round 350 (Div. 2),May/05/2016 19:05,202,5,30,1848,Expert
61,"Codeforces Round 351 (VK Cup 2016 Round 3, Div. 2 Edition)",May/07/2016 18:05,12,4,145,1993,Candidate Master
62,Codeforces Round 356 (Div. 1),Jun/08/2016 19:35,499,1,-71,1922,Candidate Master
63,Codeforces Round 359 (Div. 1),Jun/23/2016 19:35,359,1,-26,1896,Expert
64,Codeforces Round 360 (Div. 2),Jun/29/2016 20:05,296,3,-8,1888,Expert
65,Codeforces Round 361 (Div. 2),Jul/06/2016 19:35,240,2,12,1900,Candidate Master
66,Codeforces Round 362 (Div. 1),Jul/14/2016 19:35,358,2,-12,1888,Expert
67,Codeforces Round 363 (Div. 2),Jul/19/2016 16:05,563,3,-30,1858,Expert
68,Codeforces Round 364 (Div. 2),Jul/22/2016 19:35,48,4,103,1961,Candidate Master
69,Codeforces Round 366 (Div. 1),Aug/07/2016 17:05,486,0,-87,1874,Expert
70,Codeforces Round 368 (Div. 2),Aug/20/2016 16:05,126,3,64,1938,Candidate Master
71,AIM Tech Round 3 (Div. 1),Aug/24/2016 19:35,466,1,-42,1896,Expert
72,Codeforces Round 369 (Div. 2),Aug/29/2016 15:05,2075,1,-110,1786,Expert
