#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,794,2,658,658,Newbie
2,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,8234,1,258,916,Newbie
3,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,2194,3,312,1228,Pupil
4,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,2264,4,142,1370,Pupil
5,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3189,2,109,1479,Specialist
6,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,2080,3,90,1569,Specialist
7,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,251,4,160,1729,Expert
8,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,1612,4,9,1738,Expert
9,Codeforces Global Round 10,Aug/16/2020 17:35,2400,4,-14,1724,Expert
10,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,3234,3,-49,1675,Expert
11,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,322,5,130,1805,Expert
12,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1523,2,-38,1767,Expert
13,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,817,4,13,1780,Expert
14,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,952,3,28,1808,Expert
15,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,833,4,29,1837,Expert
16,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,98,4,113,1950,Candidate Master
17,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,1047,3,-28,1922,Candidate Master
18,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,606,5,9,1931,Candidate Master
19,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,345,5,49,1980,Candidate Master
20,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,1048,3,-45,1935,Candidate Master
21,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,631,0,-85,1850,Expert
22,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,251,4,49,1899,Expert
23,Codeforces Round 720 (Div. 2),May/07/2021 17:35,18,4,204,2103,Master
24,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,377,2,10,2113,Master
25,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,330,3,46,2159,Master
26,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,258,2,19,2178,Master
27,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,89,6,143,2321,International Master
28,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,128,3,41,2362,International Master
29,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,207,3,33,2395,International Master
30,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,272,3,-20,2375,International Master
31,Codeforces Global Round 18,Dec/24/2021 17:35,365,4,-12,2363,International Master
32,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,143,5,61,2424,Grandmaster
33,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,205,4,5,2429,Grandmaster
34,Codeforces Global Round 19,Feb/12/2022 17:35,334,5,-12,2417,Grandmaster
35,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,686,2,-108,2309,International Master
36,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,273,3,0,2309,International Master
37,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,335,5,7,2316,International Master
38,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,319,5,23,2339,International Master
39,Codeforces Global Round 20,Apr/23/2022 17:05,310,6,18,2357,International Master
40,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,111,6,81,2438,Grandmaster
41,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,164,3,9,2447,Grandmaster
42,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,195,3,2,2449,Grandmaster
43,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,127,6,54,2503,Grandmaster
44,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,194,5,-7,2496,Grandmaster
45,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,39,6,117,2613,International Grandmaster
