#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 644 (Div. 3),May/24/2020 16:35,878,6,591,591,Newbie
2,Codeforces Round 645 (Div. 2),May/26/2020 17:35,5471,2,330,921,Newbie
3,Codeforces Round 646 (Div. 2),May/31/2020 17:35,3069,2,299,1220,Pupil
4,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,1420,4,218,1438,Specialist
5,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,1347,5,177,1615,Expert
6,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,5113,2,-17,1598,Specialist
7,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,2322,3,22,1620,Expert
8,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,481,4,123,1743,Expert
9,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1051,4,31,1774,Expert
10,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,3374,3,-57,1717,Expert
11,Codeforces Global Round 9,Jul/04/2020 17:45,5996,2,-89,1628,Expert
12,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,1720,3,12,1640,Expert
13,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,1742,3,13,1653,Expert
14,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1621,3,4,1657,Expert
15,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,2726,3,-17,1640,Expert
16,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,3532,2,-43,1597,Specialist
17,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,504,3,84,1681,Expert
18,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,778,3,43,1724,Expert
19,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,520,4,44,1768,Expert
20,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,1617,3,-33,1735,Expert
21,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,1897,4,-32,1703,Expert
22,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,1156,3,0,1703,Expert
23,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,635,4,62,1765,Expert
24,Codeforces Global Round 14,May/02/2021 17:35,8880,1,-169,1596,Specialist
25,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,77,7,142,1738,Expert
26,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,4381,3,-118,1620,Expert
27,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2226,2,-12,1608,Expert
28,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,1332,4,10,1618,Expert
29,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,505,3,41,1659,Expert
30,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,6003,2,-115,1544,Specialist
31,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,435,4,98,1642,Expert
32,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,1477,3,2,1644,Expert
33,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,120,5,151,1795,Expert
34,Codeforces Global Round 17,Nov/23/2021 17:35,1285,3,9,1804,Expert
35,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,1112,3,-22,1782,Expert
36,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1649,4,-20,1762,Expert
37,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,299,4,83,1845,Expert
38,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1311,2,-21,1824,Expert
39,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,647,4,-3,1821,Expert
40,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,449,4,31,1852,Expert
41,Codeforces Global Round 18,Dec/24/2021 17:35,379,4,123,1975,Candidate Master
42,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,51,5,120,2095,Candidate Master
43,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,1160,3,-87,2008,Candidate Master
44,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,660,4,-34,1974,Candidate Master
45,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,91,4,74,2048,Candidate Master
46,Codeforces Global Round 22,Sep/30/2022 17:35,574,4,36,2084,Candidate Master
47,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,101,4,45,2129,Master
