#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,349,3,676,676,Newbie
2,Codeforces Round 721 (Div. 2),May/20/2021 17:35,40,5,618,1294,Pupil
3,Codeforces Round 722 (Div. 2),May/24/2021 17:35,10,5,468,1762,Expert
4,Codeforces Round 723 (Div. 2),May/28/2021 17:05,45,5,262,2024,Candidate Master
5,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,749,3,85,2109,Master
6,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,585,3,15,2124,Master
7,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,431,5,31,2155,Master
8,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,422,5,49,2204,Master
9,Hello 2022,Jan/03/2022 17:35,178,5,103,2307,International Master
10,Codeforces Round 794 (Div. 1),May/25/2022 20:35,147,2,27,2334,International Master
11,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,695,1,-122,2212,Master
12,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,94,3,137,2349,International Master
13,Codeforces Global Round 21,Jun/25/2022 17:35,1231,4,-103,2246,Master
14,Dytechlab Cup 2022,Oct/07/2022 17:35,84,5,136,2382,International Master
