#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 14,May/02/2021 17:35,4407,3,508,508,Newbie
2,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,581,3,486,994,Newbie
3,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,373,3,400,1394,Pupil
4,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,3520,2,89,1483,Specialist
5,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,301,6,167,1650,Expert
6,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,2463,2,5,1655,Expert
7,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,2865,2,-29,1626,Expert
8,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,1533,4,48,1674,Expert
9,Codeforces Global Round 15,Jul/25/2021 17:35,1666,3,35,1709,Expert
10,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,1509,2,1,1710,Expert
11,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,437,4,63,1773,Expert
12,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1365,3,-4,1769,Expert
13,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1714,4,-17,1752,Expert
14,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,265,5,77,1829,Expert
15,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,3611,2,-100,1729,Expert
16,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,908,3,27,1756,Expert
17,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,3168,1,-110,1646,Expert
18,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,417,4,80,1726,Expert
19,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2103,3,-31,1695,Expert
20,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,89,4,182,1877,Expert
21,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,497,3,17,1894,Expert
22,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,283,4,43,1937,Candidate Master
23,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,3463,2,-138,1799,Expert
24,Codeforces Global Round 18,Dec/24/2021 17:35,1272,3,20,1819,Expert
25,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,796,3,4,1823,Expert
26,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,136,4,106,1929,Candidate Master
27,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,293,4,49,1978,Candidate Master
28,Codeforces Global Round 19,Feb/12/2022 17:35,723,5,38,2016,Candidate Master
29,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,184,4,33,2049,Candidate Master
30,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,324,3,58,2107,Master
31,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,587,4,9,2116,Master
32,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,353,3,28,2144,Master
33,Codeforces Global Round 22,Sep/30/2022 17:35,203,6,97,2241,Master
34,Dytechlab Cup 2022,Oct/07/2022 17:35,669,3,-40,2201,Master
35,Codeforces Global Round 23,Oct/15/2022 17:35,408,4,36,2237,Master
36,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,364,4,5,2242,Master
37,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,67,6,152,2394,International Master
38,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,169,4,39,2433,Grandmaster
39,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,305,6,-24,2409,Grandmaster
