#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 287 (Div. 2),Jan/23/2015 19:00,559,2,148,1648,Expert
2,Codeforces Round 407 (Div. 2),Mar/29/2017 19:05,13,4,233,1881,Expert
3,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,712,3,-6,1875,Expert
4,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",May/13/2017 12:35,848,2,-49,1826,Expert
5,Codeforces Round 419 (Div. 2),Jun/17/2017 17:35,30,4,130,1956,Candidate Master
6,Codeforces Round 443 (Div. 1),Oct/26/2017 17:45,156,1,60,2016,Candidate Master
7,Good Bye 2017,Dec/29/2017 18:40,968,3,-27,1989,Candidate Master
8,Hello 2018,Jan/08/2018 17:45,63,5,177,2166,Master
9,Codeforces Round 462 (Div. 1),Feb/14/2018 15:05,40,3,127,2293,Master
10,Codeforces Round 485 (Div. 1),May/29/2018 18:35,101,2,31,2324,International Master
11,Codeforces Round 493 (Div. 1),Jul/01/2018 17:05,446,1,-123,2201,Master
12,Codeforces Round 499 (Div. 1),Jul/26/2018 18:05,20,5,176,2377,International Master
13,Codeforces Round 500 (Div. 1) [based on EJOI],Jul/30/2018 11:15,262,3,-83,2294,Master
14,Codeforces Global Round 1,Feb/07/2019 16:35,89,6,93,2387,International Master
15,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,224,2,-30,2357,International Master
16,Codeforces Round 559 (Div. 1),May/12/2019 17:35,23,4,127,2484,Grandmaster
17,Codeforces Round 562 (Div. 1),May/26/2019 18:35,78,3,7,2491,Grandmaster
18,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,37,4,68,2559,Grandmaster
19,Codeforces Global Round 4,Jul/20/2019 18:35,239,6,-60,2499,Grandmaster
20,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,61,4,33,2532,Grandmaster
21,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,43,8,71,2603,International Grandmaster
22,Codeforces Round 588 (Div. 1),Sep/23/2019 17:05,93,3,-14,2589,Grandmaster
23,Codeforces Global Round 5,Oct/16/2019 17:35,78,7,32,2621,International Grandmaster
24,Codeforces Global Round 6,Dec/17/2019 18:05,41,5,61,2682,International Grandmaster
25,Hello 2020,Jan/04/2020 15:05,49,5,48,2730,International Grandmaster
26,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,84,3,-21,2709,International Grandmaster
27,Codeforces Global Round 13,Feb/28/2021 16:35,123,5,1,2710,International Grandmaster
28,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,95,3,0,2710,International Grandmaster
29,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,42,5,77,2787,International Grandmaster
30,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,275,3,-95,2692,International Grandmaster
31,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,257,5,-66,2626,International Grandmaster
32,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,250,5,-52,2574,Grandmaster
