#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,1866,2,-5,1495,Specialist
2,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,882,4,102,1597,Specialist
3,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,703,5,29,1626,Expert
4,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,524,4,108,1734,Expert
5,Codeforces Global Round 7,Mar/19/2020 17:35,763,5,110,1844,Expert
6,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,702,4,44,1888,Expert
7,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,905,4,21,1909,Candidate Master
8,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1115,2,-44,1865,Expert
9,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,1007,4,-8,1857,Expert
10,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,356,4,58,1915,Candidate Master
11,Codeforces Round 646 (Div. 2),May/31/2020 17:35,619,4,40,1955,Candidate Master
12,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,745,2,2,1957,Candidate Master
13,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,133,6,107,2064,Candidate Master
14,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,163,5,58,2122,Master
15,Codeforces Global Round 8,Jun/18/2020 17:45,272,5,89,2211,Master
16,Codeforces Global Round 9,Jul/04/2020 17:45,965,4,-17,2194,Master
17,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,404,3,16,2210,Master
18,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,340,2,26,2236,Master
19,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-115,2121,Master
20,Codeforces Global Round 10,Aug/16/2020 17:35,150,6,122,2243,Master
21,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,359,3,17,2260,Master
22,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,841,2,-83,2177,Master
23,Codeforces Global Round 11,Oct/10/2020 17:50,1387,3,-64,2113,Master
24,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,702,1,-66,2047,Candidate Master
25,Codeforces Global Round 12,Dec/06/2020 17:35,294,5,96,2143,Master
26,Good Bye 2020,Dec/30/2020 17:35,699,6,21,2164,Master
27,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,795,2,-51,2113,Master
28,Codeforces Global Round 14,May/02/2021 17:35,219,6,107,2220,Master
29,Codeforces Round 722 (Div. 1),May/24/2021 17:35,414,3,-5,2215,Master
30,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,681,3,-16,2199,Master
31,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,305,5,41,2240,Master
32,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,266,2,11,2251,Master
33,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,394,2,-8,2243,Master
34,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,367,5,17,2260,Master
35,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,529,5,-16,2244,Master
36,Codeforces Global Round 15,Jul/25/2021 17:35,818,4,-39,2205,Master
37,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,778,2,-65,2140,Master
