#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,9889,1,409,409,Newbie
2,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,12642,0,213,622,Newbie
3,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,6764,2,214,836,Newbie
4,Codeforces Global Round 14,May/02/2021 17:35,7106,2,152,988,Newbie
5,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,4112,2,140,1128,Newbie
6,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,522,3,300,1428,Specialist
7,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,6825,1,-83,1345,Pupil
8,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,811,3,161,1506,Specialist
9,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,4313,2,-57,1449,Specialist
10,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,1767,4,15,1464,Specialist
11,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,3697,2,-20,1444,Specialist
12,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,8429,1,-112,1332,Pupil
13,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,7805,1,-95,1237,Pupil
14,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,3975,2,8,1245,Pupil
15,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1646,2,115,1360,Pupil
16,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,1358,3,97,1457,Specialist
17,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,9698,1,-97,1360,Pupil
18,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,2133,3,58,1418,Specialist
19,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,2083,3,54,1472,Specialist
20,Codeforces Global Round 19,Feb/12/2022 17:35,9120,1,-104,1368,Pupil
21,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,2048,2,41,1409,Specialist
22,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,5399,1,-65,1344,Pupil
23,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,3624,2,-9,1335,Pupil
24,Codeforces Round 786 (Div. 3),May/02/2022 17:35,388,5,128,1463,Specialist
25,Codeforces Round 791 (Div. 2),May/14/2022 12:35,3284,2,-33,1430,Specialist
26,Codeforces Round 793 (Div. 2),May/22/2022 17:35,622,3,130,1560,Specialist
27,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,342,4,113,1673,Expert
28,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,1091,3,19,1692,Expert
29,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,4647,3,-88,1604,Expert
30,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,3967,3,-59,1545,Specialist
31,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,2398,2,-1,1544,Specialist
32,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,675,4,101,1645,Expert
33,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,553,4,82,1727,Expert
34,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,1618,3,-24,1703,Expert
35,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,3838,3,-69,1634,Expert
36,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,4995,2,-79,1555,Specialist
37,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1181,3,57,1612,Expert
38,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,86,5,217,1829,Expert
39,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,2127,3,-68,1761,Expert
40,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,740,4,27,1788,Expert
41,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,3257,2,-84,1704,Expert
42,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,795,4,34,1738,Expert
43,Codeforces Global Round 22,Sep/30/2022 17:35,1245,3,38,1776,Expert
44,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,53,4,169,1945,Candidate Master
45,Codeforces Global Round 23,Oct/15/2022 17:35,841,4,35,1980,Candidate Master
46,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,455,4,-3,1977,Candidate Master
47,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,137,4,58,2035,Candidate Master
48,Codeforces Global Round 24,Nov/26/2022 17:05,2080,3,-116,1919,Candidate Master
49,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,1016,4,3,1922,Candidate Master
50,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,427,5,15,1937,Candidate Master
51,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,514,4,103,2040,Candidate Master
52,Hello 2023,Jan/03/2023 17:35,1395,4,-32,2008,Candidate Master
53,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,2024,3,-94,1914,Candidate Master
54,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,227,4,58,1972,Candidate Master
55,Codeforces Round 843 (Div. 2),Jan/10/2023 14:15,186,6,50,2022,Candidate Master
56,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,365,5,77,2099,Candidate Master
57,Codeforces Round 845 (Div. 2) and ByteRace 2023,Jan/21/2023 17:35,314,4,-24,2075,Candidate Master
58,Educational Codeforces Round 142 (Rated for Div. 2),Jan/24/2023 17:35,87,4,55,2130,Master
