#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,2547,3,566,566,Newbie
2,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,962,3,444,1010,Newbie
3,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,1765,5,230,1240,Pupil
4,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,945,3,224,1464,Specialist
5,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,435,3,168,1632,Expert
6,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,585,4,122,1754,Expert
7,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,590,3,12,1766,Expert
8,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,948,3,-18,1748,Expert
9,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,955,3,-23,1725,Expert
10,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,84,4,136,1861,Expert
11,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,249,4,68,1929,Candidate Master
12,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,646,4,8,1937,Candidate Master
13,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,1491,4,-53,1884,Expert
14,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,439,4,28,1912,Candidate Master
15,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,430,2,55,1967,Candidate Master
16,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,336,3,35,2002,Candidate Master
17,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,1116,2,-57,1945,Candidate Master
18,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,967,1,-50,1895,Expert
19,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,214,4,68,1963,Candidate Master
20,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,799,1,-53,1910,Candidate Master
21,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,100,4,101,2011,Candidate Master
22,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,913,2,-66,1945,Candidate Master
23,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,244,5,43,1988,Candidate Master
24,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,877,0,-96,1892,Expert
25,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,281,4,151,2043,Candidate Master
26,Codeforces Global Round 14,May/02/2021 17:35,380,5,82,2125,Master
27,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,450,1,-26,2099,Candidate Master
28,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,22,5,131,2230,Master
29,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,377,2,2,2232,Master
30,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,676,5,-29,2203,Master
31,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,1350,4,-82,2121,Master
32,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,640,2,-19,2102,Master
33,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1769,3,-80,2022,Candidate Master
34,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,213,4,37,2059,Candidate Master
35,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,124,4,49,2108,Master
36,Codeforces Global Round 18,Dec/24/2021 17:35,753,3,-7,2101,Master
37,Codeforces Global Round 19,Feb/12/2022 17:35,1485,4,-61,2040,Candidate Master
38,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,260,4,19,2059,Candidate Master
39,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,324,5,-6,2053,Candidate Master
40,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,505,2,10,2063,Candidate Master
41,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,86,4,62,2125,Master
42,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,402,2,14,2139,Master
43,Codeforces Global Round 20,Apr/23/2022 17:05,964,5,-42,2097,Candidate Master
44,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,11,5,167,2264,Master
45,Codeforces Round 789 (Div. 1),May/08/2022 17:35,320,3,-2,2262,Master
46,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1031,4,-78,2184,Master
47,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,83,3,158,2342,International Master
48,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,921,4,-71,2271,Master
49,Dytechlab Cup 2022,Oct/07/2022 17:35,317,4,20,2291,Master
50,Codeforces Global Round 23,Oct/15/2022 17:35,235,5,59,2350,International Master
51,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,372,5,-39,2311,International Master
52,Codeforces Global Round 24,Nov/26/2022 17:05,720,4,-73,2238,Master
53,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,365,3,8,2246,Master
