#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,1284,3,593,593,Newbie
2,Codeforces Round 764 (Div. 3),Jan/10/2022 17:35,434,4,437,1030,Newbie
3,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,1356,3,277,1307,Pupil
4,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,186,4,309,1616,Expert
5,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,180,4,205,1821,Expert
6,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,968,4,28,1849,Expert
7,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,2793,2,-100,1749,Expert
8,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,78,4,160,1909,Candidate Master
9,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1063,3,-1,1908,Candidate Master
10,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,634,3,-4,1904,Candidate Master
11,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,352,4,26,1930,Candidate Master
12,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,686,3,-8,1922,Candidate Master
13,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,157,4,71,1993,Candidate Master
14,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,209,4,44,2037,Candidate Master
15,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,96,4,75,2112,Master
16,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,546,3,-26,2086,Candidate Master
17,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,124,4,43,2129,Master
18,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,509,4,17,2146,Master
