#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,6375,1,464,464,Newbie
2,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,269,4,681,1145,Newbie
3,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,515,3,327,1472,Specialist
4,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,403,4,192,1664,Expert
5,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,695,4,112,1776,Expert
6,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,230,5,126,1902,Candidate Master
7,Codeforces Round 845 (Div. 2) and ByteRace 2023,Jan/21/2023 17:35,44,5,136,2038,Candidate Master
8,Educational Codeforces Round 142 (Rated for Div. 2),Jan/24/2023 17:35,1152,4,-75,1963,Candidate Master
9,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,71,5,103,2066,Candidate Master
10,Codeforces Round 852 (Div. 2),Feb/12/2023 11:35,69,5,77,2143,Master
