#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,4541,2,-60,1440,Specialist
2,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,2907,3,-26,1414,Specialist
3,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,5467,1,-67,1347,Pupil
4,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,3571,2,2,1349,Pupil
5,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,3137,2,28,1377,Pupil
6,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,2272,3,70,1447,Specialist
7,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,1084,3,105,1552,Specialist
8,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,3896,2,-41,1511,Specialist
9,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,3565,1,-54,1457,Specialist
10,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,758,3,55,1512,Specialist
11,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1262,3,34,1546,Specialist
12,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,2979,2,-1,1545,Specialist
13,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,641,3,102,1647,Expert
14,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,3928,1,-112,1535,Specialist
15,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,1618,3,40,1575,Specialist
16,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,787,4,28,1603,Expert
17,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2066,3,13,1616,Expert
18,Codeforces Global Round 7,Mar/19/2020 17:35,2117,4,47,1663,Expert
19,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2234,3,15,1678,Expert
20,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2432,3,9,1687,Expert
21,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,247,4,157,1844,Expert
22,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1875,3,-12,1832,Expert
23,Codeforces Round 638 (Div. 2),May/01/2020 17:35,356,4,93,1925,Candidate Master
24,Codeforces Round 646 (Div. 2),May/31/2020 17:35,2674,2,-54,1871,Expert
25,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,8356,1,-147,1724,Expert
26,Codeforces Global Round 8,Jun/18/2020 17:45,621,4,141,1865,Expert
27,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,1200,3,-1,1864,Expert
28,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,6098,2,-124,1740,Expert
29,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,997,4,36,1776,Expert
30,Codeforces Global Round 9,Jul/04/2020 17:45,2111,3,19,1795,Expert
31,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,129,5,118,1913,Candidate Master
32,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,1336,3,-21,1892,Expert
33,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,2767,2,-68,1824,Expert
34,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,1838,3,-28,1796,Expert
35,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,4119,2,-83,1713,Expert
36,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,381,4,109,1822,Expert
37,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,66,4,172,1994,Candidate Master
38,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,433,5,14,2008,Candidate Master
39,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,2043,3,-80,1928,Candidate Master
40,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,813,1,-31,1897,Expert
