#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 501 (Div. 3),Jul/31/2018 17:35,784,4,14,1514,Specialist
2,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,2847,2,-59,1455,Specialist
3,Codeforces Round 506 (Div. 3),Aug/24/2018 17:50,2088,1,-28,1427,Specialist
4,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,1228,3,60,1487,Specialist
5,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,515,3,102,1589,Specialist
6,Codeforces Global Round 1,Feb/07/2019 16:35,468,4,165,1754,Expert
7,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,806,3,19,1773,Expert
8,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,353,5,56,1829,Expert
9,Codeforces Global Round 2,Apr/06/2019 14:35,1074,4,4,1833,Expert
10,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,350,4,43,1876,Expert
11,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,939,4,-51,1825,Expert
12,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,464,4,11,1836,Expert
13,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,662,4,1,1837,Expert
14,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,133,6,101,1938,Candidate Master
15,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,92,5,96,2034,Candidate Master
16,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,760,1,-97,1937,Candidate Master
17,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,415,3,23,1960,Candidate Master
18,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,259,5,35,1995,Candidate Master
19,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,61,5,105,2100,Master
20,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,271,1,6,2106,Master
21,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,587,2,-57,2049,Candidate Master
22,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,780,4,-53,1996,Candidate Master
23,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,659,4,-33,1963,Candidate Master
24,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,494,2,16,1979,Candidate Master
25,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,886,2,-61,1918,Candidate Master
26,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,99,5,112,2030,Candidate Master
27,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,36,4,125,2155,Master
28,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,128,4,108,2263,Master
29,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,704,4,-38,2225,Master
30,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,308,2,-4,2221,Master
31,Codeforces Global Round 7,Mar/19/2020 17:35,1112,5,-49,2172,Master
32,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,755,2,-35,2137,Master
33,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,771,2,-32,2105,Master
34,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,262,3,88,2193,Master
35,Codeforces Global Round 9,Jul/04/2020 17:45,1413,4,-44,2149,Master
36,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1066,3,-76,2073,Candidate Master
37,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,66,4,98,2171,Master
38,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,518,2,-40,2131,Master
39,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,560,2,-26,2105,Master
40,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,196,2,81,2186,Master
41,Good Bye 2020,Dec/30/2020 17:35,1063,6,-26,2160,Master
42,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,331,3,47,2207,Master
43,Codeforces Global Round 13,Feb/28/2021 16:35,655,4,2,2209,Master
44,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,473,2,-3,2206,Master
45,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,141,2,80,2286,Master
46,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,137,4,73,2359,International Master
47,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,256,3,6,2365,International Master
48,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,525,2,-73,2292,Master
49,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,72,5,141,2433,Grandmaster
50,Codeforces Round 722 (Div. 1),May/24/2021 17:35,341,3,-38,2395,International Master
51,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,3103,2,-197,2198,Master
52,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,305,2,32,2230,Master
53,Codeforces Global Round 21,Jun/25/2022 17:35,453,5,16,2246,Master
54,Codeforces Global Round 22,Sep/30/2022 17:35,497,4,-3,2243,Master
55,Codeforces Global Round 23,Oct/15/2022 17:35,83,5,154,2397,International Master
56,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,220,5,15,2412,Grandmaster
57,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,350,5,8,2420,Grandmaster
