#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,6467,1,-108,1392,Pupil
2,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,2660,3,15,1407,Specialist
3,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,4782,1,-27,1380,Pupil
4,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,2219,2,50,1430,Specialist
5,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,459,5,111,1541,Specialist
6,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1820,3,34,1575,Specialist
7,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,1087,4,41,1616,Expert
8,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,2715,3,23,1639,Expert
9,Codeforces Round 638 (Div. 2),May/01/2020 17:35,393,4,147,1786,Expert
10,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,1127,4,25,1811,Expert
11,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1542,4,-13,1798,Expert
12,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,334,5,69,1867,Expert
13,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,3407,1,-74,1793,Expert
14,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2280,3,-23,1770,Expert
15,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,753,4,54,1824,Expert
16,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,6883,1,-133,1691,Expert
17,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,70,4,176,1867,Expert
18,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,60,4,122,1989,Candidate Master
19,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,874,3,-14,1975,Candidate Master
20,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,1958,3,-70,1905,Candidate Master
21,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,318,5,38,1943,Candidate Master
22,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,153,4,73,2016,Candidate Master
23,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,429,4,-5,2011,Candidate Master
24,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,396,4,0,2011,Candidate Master
25,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,350,2,45,2056,Candidate Master
26,Good Bye 2020,Dec/30/2020 17:35,825,6,29,2085,Candidate Master
27,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,544,2,-26,2059,Candidate Master
28,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1472,4,-68,1991,Candidate Master
29,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1495,3,-61,1930,Candidate Master
30,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,483,3,77,2007,Candidate Master
31,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,147,4,73,2080,Candidate Master
32,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,701,4,-38,2042,Candidate Master
33,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,576,4,-10,2032,Candidate Master
34,Codeforces Global Round 13,Feb/28/2021 16:35,89,6,210,2242,Master
35,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,550,2,-26,2216,Master
36,Codeforces Global Round 14,May/02/2021 17:35,429,5,26,2242,Master
37,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,653,5,-28,2214,Master
38,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,598,5,-14,2200,Master
39,Codeforces Global Round 15,Jul/25/2021 17:35,924,4,-39,2161,Master
40,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,326,5,45,2206,Master
41,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,471,2,-8,2198,Master
42,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,473,3,-11,2187,Master
43,Codeforces Global Round 19,Feb/12/2022 17:35,224,6,83,2270,Master
44,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,624,4,-37,2233,Master
45,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,575,2,-57,2176,Master
46,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,667,1,-94,2082,Candidate Master
47,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,1770,2,-109,1973,Candidate Master
48,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,142,4,55,2028,Candidate Master
