#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,1247,3,28,1528,Specialist
2,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,1720,1,-56,1472,Specialist
3,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,111,5,173,1645,Expert
4,Good Bye 2017,Dec/29/2017 18:40,1202,3,51,1696,Expert
5,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,1721,2,-68,1628,Expert
6,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,619,3,82,1710,Expert
7,Codeforces Round 459 (Div. 2),Jan/29/2018 17:35,54,4,140,1850,Expert
8,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,797,3,-2,1848,Expert
9,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,74,4,77,1925,Candidate Master
10,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,2140,1,-91,1834,Expert
11,Codeforces Round 539 (Div. 2),Feb/16/2019 19:35,9,4,193,2027,Candidate Master
12,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,186,4,26,2053,Candidate Master
13,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,286,5,-7,2046,Candidate Master
14,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,335,2,-44,2002,Candidate Master
15,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,220,2,86,2088,Candidate Master
16,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,5716,1,-191,1897,Expert
17,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1011,4,5,1902,Candidate Master
18,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,74,5,123,2025,Candidate Master
19,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1037,3,-43,1982,Candidate Master
20,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,65,5,109,2091,Candidate Master
21,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,252,4,5,2096,Candidate Master
22,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,322,4,-17,2079,Candidate Master
23,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,1799,3,-110,1969,Candidate Master
24,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,286,4,21,1990,Candidate Master
25,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,4857,2,-161,1829,Expert
26,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,854,3,-7,1822,Expert
27,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,1588,3,-51,1771,Expert
28,Codeforces Global Round 22,Sep/30/2022 17:35,922,4,61,1832,Expert
29,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,840,3,-4,1828,Expert
30,Codeforces Global Round 23,Oct/15/2022 17:35,206,5,203,2031,Candidate Master
31,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,730,4,-43,1988,Candidate Master
32,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,14,5,166,2154,Master
