#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 555 (Div. 3),Apr/26/2019 17:35,2525,2,-58,1442,Specialist
2,Codeforces Round 561 (Div. 2),May/17/2019 18:05,2303,2,-18,1424,Specialist
3,Codeforces Global Round 3,Jun/01/2019 17:35,1787,2,51,1475,Specialist
4,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,2346,2,-25,1450,Specialist
5,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,1618,2,21,1471,Specialist
6,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,1487,3,19,1490,Specialist
7,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,2075,2,3,1493,Specialist
8,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,4821,0,-129,1364,Pupil
9,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,1798,1,34,1398,Pupil
10,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,2919,2,15,1413,Specialist
11,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,736,5,76,1489,Specialist
12,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,1650,3,31,1520,Specialist
13,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1364,3,60,1580,Specialist
14,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,1391,3,32,1612,Expert
15,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1236,3,60,1672,Expert
16,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,585,4,79,1751,Expert
17,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,3043,1,-64,1687,Expert
18,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,2649,3,-42,1645,Expert
19,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,1884,3,-10,1635,Expert
20,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,2415,3,-61,1574,Specialist
21,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,2469,2,-36,1538,Specialist
22,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,3446,2,-28,1510,Specialist
23,Codeforces Round 590 (Div. 3),Oct/01/2019 17:35,94,6,154,1664,Expert
24,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,2101,2,-31,1633,Expert
25,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,1028,3,28,1661,Expert
26,Codeforces Global Round 5,Oct/16/2019 17:35,1580,3,30,1691,Expert
27,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,1358,3,-4,1687,Expert
28,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,790,3,10,1697,Expert
29,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,1282,3,-8,1689,Expert
30,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,2727,2,-90,1599,Specialist
31,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,1524,3,17,1616,Expert
32,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,1036,3,19,1635,Expert
33,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,126,5,170,1805,Expert
34,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,1298,3,-27,1778,Expert
35,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,283,4,48,1826,Expert
