#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,20,5,875,875,Newbie
2,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,7,4,628,1503,Specialist
3,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,8,4,429,1932,Candidate Master
4,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,7,6,299,2231,Master
5,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,291,2,77,2308,International Master
6,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,173,2,68,2376,International Master
7,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,45,4,148,2524,Grandmaster
8,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,75,4,62,2586,Grandmaster
9,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,131,5,14,2600,International Grandmaster
10,Hello 2022,Jan/03/2022 17:35,59,6,84,2684,International Grandmaster
11,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,162,5,-4,2680,International Grandmaster
