#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 762 (Div. 3),Dec/20/2021 17:35,4650,3,461,461,Newbie
2,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,4992,2,328,789,Newbie
3,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,958,3,373,1162,Newbie
4,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1274,4,276,1438,Specialist
5,Hello 2022,Jan/03/2022 17:35,3427,2,88,1526,Specialist
6,Codeforces Round 764 (Div. 3),Jan/10/2022 17:35,235,5,144,1670,Expert
7,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,3834,2,-84,1586,Specialist
8,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,1135,3,46,1632,Expert
9,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,2410,3,-22,1610,Expert
10,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,1555,3,15,1625,Expert
11,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,1951,3,9,1634,Expert
12,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,1952,3,-8,1626,Expert
13,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,3620,3,-46,1580,Specialist
14,Codeforces Global Round 19,Feb/12/2022 17:35,4452,3,-45,1535,Specialist
15,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,606,4,108,1643,Expert
16,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,3134,3,-56,1587,Specialist
17,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,3735,3,-50,1537,Specialist
18,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,4383,2,-66,1471,Specialist
19,Codeforces Round 776 (Div. 3),Mar/08/2022 17:35,1896,4,1,1472,Specialist
20,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,786,3,94,1566,Specialist
21,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,4423,2,-67,1499,Specialist
22,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,2379,3,42,1541,Specialist
23,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,5118,2,-84,1457,Specialist
24,Codeforces Round 780 (Div. 3),Mar/31/2022 17:35,105,6,165,1622,Expert
25,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,507,3,78,1700,Expert
26,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,1702,3,-25,1675,Expert
27,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,385,4,87,1762,Expert
28,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,532,3,18,1780,Expert
29,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,126,5,120,1900,Candidate Master
30,Codeforces Global Round 20,Apr/23/2022 17:05,2954,3,-110,1790,Expert
31,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,383,4,53,1843,Expert
32,Codeforces Round 788 (Div. 2),May/06/2022 17:35,88,5,115,1958,Candidate Master
33,Codeforces Round 789 (Div. 1),May/08/2022 17:35,624,3,-20,1938,Candidate Master
34,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,390,4,13,1951,Candidate Master
35,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,430,5,79,2030,Candidate Master
36,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1789,3,-95,1935,Candidate Master
37,Codeforces Round 794 (Div. 1),May/25/2022 20:35,345,2,26,1961,Candidate Master
38,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,298,4,21,1982,Candidate Master
39,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,450,2,17,1999,Candidate Master
40,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,183,4,19,2018,Candidate Master
41,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,4129,2,-152,1866,Expert
42,Codeforces Round 800 (Div. 2),Jun/16/2022 17:35,72,4,102,1968,Candidate Master
43,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,1775,2,-85,1883,Expert
44,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,271,4,44,1927,Candidate Master
45,Codeforces Global Round 21,Jun/25/2022 17:35,670,5,58,1985,Candidate Master
46,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,196,4,42,2027,Candidate Master
47,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,690,3,-32,1995,Candidate Master
48,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,261,4,26,2021,Candidate Master
49,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,700,4,-36,1985,Candidate Master
50,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,606,2,-9,1976,Candidate Master
51,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,556,4,-6,1970,Candidate Master
52,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,227,4,43,2013,Candidate Master
53,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,685,4,37,2050,Candidate Master
54,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,168,4,44,2094,Candidate Master
55,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,81,4,69,2163,Master
56,Dytechlab Cup 2022,Oct/07/2022 17:35,614,3,-13,2150,Master
57,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,509,4,-11,2139,Master
58,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,168,5,78,2217,Master
