#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 7,Mar/19/2020 17:35,4688,3,-10,1490,Specialist
2,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,1434,4,100,1590,Specialist
3,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,47,5,188,1778,Expert
4,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,197,5,140,1918,Candidate Master
5,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,716,4,26,1944,Candidate Master
6,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,178,5,96,2040,Candidate Master
7,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,889,2,-27,2013,Candidate Master
8,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,473,3,62,2075,Candidate Master
9,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,662,4,-7,2068,Candidate Master
10,Codeforces Round 638 (Div. 2),May/01/2020 17:35,650,4,-6,2062,Candidate Master
11,Codeforces Round 641 (Div. 1),May/12/2020 15:35,1214,0,-97,1965,Candidate Master
12,Codeforces Round 645 (Div. 2),May/26/2020 17:35,528,4,25,1990,Candidate Master
13,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,433,5,29,2019,Candidate Master
14,Codeforces Round 646 (Div. 2),May/31/2020 17:35,93,5,110,2129,Master
15,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1129,3,-81,2048,Candidate Master
16,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,617,2,12,2060,Candidate Master
17,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,67,5,110,2170,Master
18,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,257,2,38,2208,Master
19,Good Bye 2020,Dec/30/2020 17:35,378,6,52,2260,Master
20,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,572,1,-84,2176,Master
21,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,297,3,36,2212,Master
22,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,440,3,-8,2204,Master
23,Codeforces Global Round 14,May/02/2021 17:35,654,5,-6,2198,Master
24,Codeforces Round 722 (Div. 1),May/24/2021 17:35,324,3,27,2225,Master
25,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,323,4,45,2270,Master
26,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,124,2,93,2363,International Master
27,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,486,5,-35,2328,International Master
28,Codeforces Global Round 15,Jul/25/2021 17:35,575,5,-29,2299,Master
29,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,274,3,28,2327,International Master
30,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,115,3,94,2421,Grandmaster
31,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,746,2,-112,2309,International Master
32,Codeforces Global Round 19,Feb/12/2022 17:35,357,5,13,2322,International Master
33,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,164,3,45,2367,International Master
34,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,350,5,3,2370,International Master
35,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,281,2,-10,2360,International Master
36,Codeforces Round 789 (Div. 1),May/08/2022 17:35,154,4,42,2402,Grandmaster
37,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,472,4,-44,2358,International Master
38,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,249,2,-9,2349,International Master
39,Codeforces Global Round 21,Jun/25/2022 17:35,90,6,116,2465,Grandmaster
40,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,794,0,-146,2319,International Master
41,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,372,5,8,2327,International Master
42,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,649,2,-92,2235,Master
43,Codeforces Global Round 22,Sep/30/2022 17:35,329,5,34,2269,Master
44,Dytechlab Cup 2022,Oct/07/2022 17:35,144,5,86,2355,International Master
45,Codeforces Global Round 23,Oct/15/2022 17:35,357,4,8,2363,International Master
46,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,401,4,-36,2327,International Master
47,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,299,5,-16,2311,International Master
48,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,315,5,9,2320,International Master
49,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,349,4,-7,2313,International Master
50,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,101,6,98,2411,Grandmaster
51,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,256,5,33,2444,Grandmaster
52,Hello 2023,Jan/03/2023 17:35,111,6,77,2521,Grandmaster
