#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,4051,1,-99,1401,Specialist
2,AIM Tech Round 4 (Div. 2),Aug/24/2017 19:35,1749,2,-20,1381,Pupil
3,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,2431,1,-31,1350,Pupil
4,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,2039,1,12,1362,Pupil
5,Codeforces Round 443 (Div. 2),Oct/26/2017 17:45,3396,1,-64,1298,Pupil
6,Codeforces Round 447 (Div. 2),Nov/19/2017 16:55,911,1,87,1385,Pupil
7,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,874,3,51,1436,Specialist
8,Codeforces Round 448 (Div. 2),Nov/26/2017 19:05,931,1,36,1472,Specialist
9,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,3649,0,-126,1346,Pupil
10,Educational Codeforces Round 34 (Rated for Div. 2),Dec/12/2017 18:05,1434,3,34,1380,Pupil
11,Codeforces Round 451 (Div. 2),Dec/16/2017 14:35,923,3,58,1438,Specialist
12,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,656,3,79,1517,Specialist
13,"Codeforces Round 454 (Div. 2, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,351,3,105,1622,Expert
14,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,764,3,5,1627,Expert
15,Good Bye 2017,Dec/29/2017 18:40,1017,3,72,1699,Expert
16,Codeforces Round 456 (Div. 2),Jan/05/2018 17:35,2232,1,-81,1618,Expert
17,Hello 2018,Jan/08/2018 17:45,2130,2,-10,1608,Expert
18,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,1255,2,22,1630,Expert
19,Codeforces Round 460 (Div. 2),Jan/31/2018 16:05,2392,3,-61,1569,Specialist
20,Educational Codeforces Round 37 (Rated for Div. 2),Feb/02/2018 17:35,1448,3,-26,1543,Specialist
21,Codeforces Round 461 (Div. 2),Feb/07/2018 20:15,399,2,78,1621,Expert
22,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,675,3,75,1696,Expert
23,Codeforces Round 464 (Div. 2),Feb/17/2018 13:05,399,4,25,1721,Expert
