#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,632,5,658,658,Newbie
2,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,168,7,463,1121,Newbie
3,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,882,4,313,1434,Specialist
4,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,136,4,300,1734,Expert
5,Codeforces Round 723 (Div. 2),May/28/2021 17:05,2887,3,14,1748,Expert
6,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,490,4,101,1849,Expert
7,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,332,3,65,1914,Candidate Master
8,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1645,3,-48,1866,Expert
9,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,761,5,64,1930,Candidate Master
10,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,27,5,176,2106,Master
11,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,336,2,5,2111,Master
12,Codeforces Global Round 17,Nov/23/2021 17:35,534,4,15,2126,Master
13,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,543,4,12,2138,Master
14,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,815,3,-48,2090,Candidate Master
15,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,1,6,257,2347,International Master
