#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,8369,1,390,390,Newbie
2,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,6514,2,291,681,Newbie
3,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,3706,4,266,947,Newbie
4,Codeforces Round 693 (Div. 3),Jan/04/2021 17:35,2201,4,213,1160,Newbie
5,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1103,3,233,1393,Pupil
6,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,2037,3,111,1504,Specialist
7,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,5694,1,-87,1417,Specialist
8,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,2440,3,17,1434,Specialist
9,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,4355,1,-72,1362,Pupil
10,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,4173,2,1,1363,Pupil
11,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,3106,3,11,1374,Pupil
12,Codeforces Round 786 (Div. 3),May/02/2022 17:35,8058,2,-96,1278,Pupil
13,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,60,4,322,1600,Expert
14,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,445,3,91,1691,Expert
15,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,386,3,101,1792,Expert
16,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,439,4,60,1852,Expert
17,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,149,5,74,1926,Candidate Master
18,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,1224,3,-49,1877,Expert
19,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,809,3,-7,1870,Expert
20,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,30,5,172,2042,Candidate Master
21,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,533,4,-31,2011,Candidate Master
22,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,246,5,19,2030,Candidate Master
23,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,345,3,-4,2026,Candidate Master
24,Codeforces Global Round 22,Sep/30/2022 17:35,645,4,30,2056,Candidate Master
25,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,535,4,-36,2020,Candidate Master
26,Dytechlab Cup 2022,Oct/07/2022 17:35,757,3,1,2021,Candidate Master
27,Codeforces Global Round 23,Oct/15/2022 17:35,960,4,3,2024,Candidate Master
28,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,40,5,109,2133,Master
29,Codeforces Global Round 24,Nov/26/2022 17:05,525,4,-1,2132,Master
