#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 487 (Div. 2),Jun/11/2018 16:35,3956,0,-125,1375,Pupil
2,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,2453,3,-18,1357,Pupil
3,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,974,4,93,1450,Specialist
4,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,1922,2,6,1456,Specialist
5,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,2094,1,-22,1434,Specialist
6,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,1660,3,22,1456,Specialist
7,Good Bye 2018,Dec/30/2018 17:35,1973,4,76,1532,Specialist
8,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,2309,2,-25,1507,Specialist
9,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,1517,2,6,1513,Specialist
10,Codeforces Round 544 (Div. 3),Mar/07/2019 18:05,150,5,112,1625,Expert
11,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,1053,3,16,1641,Expert
12,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,479,4,67,1708,Expert
13,Codeforces Round 549 (Div. 2),Mar/30/2019 20:10,108,4,105,1813,Expert
14,Codeforces Global Round 2,Apr/06/2019 14:35,1777,3,-43,1770,Expert
15,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,993,3,-18,1752,Expert
16,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,2992,2,-107,1645,Expert
17,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,1935,2,-35,1610,Expert
18,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,1317,3,-10,1600,Expert
19,Codeforces Round 557 (Div. 2) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,246,3,70,1670,Expert
20,Codeforces Round 558 (Div. 2),May/09/2019 18:05,722,3,21,1691,Expert
21,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,1140,4,-11,1680,Expert
22,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,446,4,65,1745,Expert
23,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,183,4,107,1852,Expert
24,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,266,4,25,1877,Expert
25,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,879,4,-27,1850,Expert
26,Codeforces Global Round 4,Jul/20/2019 18:35,1248,4,-20,1830,Expert
27,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,100,4,120,1950,Candidate Master
28,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,559,1,-22,1928,Candidate Master
29,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,2337,2,-84,1844,Expert
30,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,2557,2,-80,1764,Expert
31,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,1656,3,-48,1716,Expert
