#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,7362,3,417,417,Newbie
2,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,2332,2,423,840,Newbie
3,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,2479,2,251,1091,Newbie
4,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,4157,2,110,1201,Pupil
5,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,6520,2,58,1259,Pupil
6,Good Bye 2020,Dec/30/2020 17:35,5194,3,77,1336,Pupil
7,Codeforces Round 693 (Div. 3),Jan/04/2021 17:35,627,5,117,1453,Specialist
8,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,2893,3,16,1469,Specialist
9,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,2392,3,27,1496,Specialist
10,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,2487,3,32,1528,Specialist
11,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1672,3,48,1576,Specialist
12,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,1077,3,56,1632,Expert
13,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,842,3,71,1703,Expert
14,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,1259,4,17,1720,Expert
15,Codeforces Global Round 13,Feb/28/2021 16:35,1221,4,71,1791,Expert
16,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,441,3,68,1859,Expert
17,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,1720,2,-54,1805,Expert
18,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1118,3,-14,1791,Expert
19,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,1027,3,-6,1785,Expert
20,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,448,4,35,1820,Expert
21,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,197,4,91,1911,Candidate Master
22,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,877,0,-91,1820,Expert
23,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,827,4,72,1892,Expert
24,Codeforces Round 720 (Div. 2),May/07/2021 17:35,335,3,57,1949,Candidate Master
25,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2118,2,-62,1887,Expert
26,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,490,4,26,1913,Candidate Master
27,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,1565,3,-57,1856,Expert
28,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,131,6,119,1975,Candidate Master
29,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,622,1,-37,1938,Candidate Master
30,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,751,3,-9,1929,Candidate Master
31,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,383,4,31,1960,Candidate Master
32,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,471,2,53,2013,Candidate Master
33,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,1012,4,-10,2003,Candidate Master
34,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,244,5,45,2048,Candidate Master
35,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,315,3,4,2052,Candidate Master
36,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,284,5,-1,2051,Candidate Master
37,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,316,4,-2,2049,Candidate Master
38,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,992,3,-73,1976,Candidate Master
39,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,213,4,45,2021,Candidate Master
40,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,833,4,-50,1971,Candidate Master
41,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,35,5,133,2104,Master
42,Codeforces Global Round 23,Oct/15/2022 17:35,551,4,35,2139,Master
43,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,349,5,46,2185,Master
44,Hello 2023,Jan/03/2023 17:35,426,5,37,2222,Master
45,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,357,5,24,2246,Master
