#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,2207,2,4,1504,Specialist
2,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,1905,2,2,1506,Specialist
3,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,902,3,80,1586,Specialist
4,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1319,4,33,1619,Expert
5,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,905,2,3,1622,Expert
6,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,363,4,102,1724,Expert
7,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,1305,4,-27,1697,Expert
8,Codeforces Round 510 (Div. 2),Sep/17/2018 11:05,1050,2,-34,1663,Expert
9,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,1232,2,-15,1648,Expert
10,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,1033,3,3,1651,Expert
11,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,257,4,102,1753,Expert
12,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,1434,2,-65,1688,Expert
13,Good Bye 2018,Dec/30/2018 17:35,748,4,105,1793,Expert
14,Hello 2019,Jan/04/2019 17:45,1728,3,-14,1779,Expert
15,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,533,4,30,1809,Expert
16,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,26,4,159,1968,Candidate Master
17,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,303,2,16,1984,Candidate Master
18,Codeforces Global Round 1,Feb/07/2019 16:35,1910,3,-70,1914,Candidate Master
19,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,152,5,75,1989,Candidate Master
20,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,264,4,18,2007,Candidate Master
21,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,14,5,147,2154,Master
22,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,400,1,-37,2117,Master
23,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1804,3,-101,2016,Candidate Master
24,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,221,4,19,2035,Candidate Master
25,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,453,4,14,2049,Candidate Master
26,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,447,4,-34,2015,Candidate Master
27,Codeforces Round 588 (Div. 1),Sep/23/2019 17:05,300,2,38,2053,Candidate Master
28,Codeforces Global Round 5,Oct/16/2019 17:35,647,4,11,2064,Candidate Master
29,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,158,4,30,2094,Candidate Master
30,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,80,5,50,2144,Master
31,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,558,2,-57,2087,Candidate Master
32,Codeforces Global Round 6,Dec/17/2019 18:05,1545,3,-87,2000,Candidate Master
33,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,371,3,0,2000,Candidate Master
34,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,222,2,68,2068,Candidate Master
35,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,237,4,5,2073,Candidate Master
36,Good Bye 2019,Dec/29/2019 17:05,360,5,63,2136,Master
37,Hello 2020,Jan/04/2020 15:05,1058,3,-35,2101,Master
38,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,491,2,-23,2078,Candidate Master
39,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,561,2,-32,2046,Candidate Master
40,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,42,5,109,2155,Master
41,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,583,2,-54,2101,Master
42,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,291,3,52,2153,Master
43,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,290,1,-23,2130,Master
44,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,730,4,-8,2122,Master
45,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,195,3,71,2193,Master
46,Codeforces Global Round 7,Mar/19/2020 17:35,336,6,50,2243,Master
47,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,414,2,7,2250,Master
48,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,101,3,111,2361,International Master
49,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,326,3,-2,2359,International Master
50,Codeforces Round 641 (Div. 1),May/12/2020 15:35,207,3,31,2390,International Master
51,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,552,2,-68,2322,International Master
52,Codeforces Global Round 10,Aug/16/2020 17:35,148,6,67,2389,International Master
53,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,159,3,42,2431,Grandmaster
54,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,290,3,-23,2408,Grandmaster
55,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,125,4,39,2447,Grandmaster
56,Codeforces Global Round 11,Oct/10/2020 17:50,261,4,7,2454,Grandmaster
57,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,460,4,-64,2390,International Master
