#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,694,4,669,669,Newbie
2,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1542,4,402,1071,Newbie
3,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,240,5,333,1404,Specialist
4,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,9018,1,19,1423,Specialist
5,Codeforces Global Round 9,Jul/04/2020 17:45,4884,2,70,1493,Specialist
6,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,1246,4,72,1565,Specialist
7,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,2066,2,40,1605,Expert
8,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2622,1,4,1609,Expert
9,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,1447,3,61,1670,Expert
10,Codeforces Global Round 10,Aug/16/2020 17:35,1704,4,39,1709,Expert
11,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,242,4,136,1845,Expert
12,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,1879,3,-80,1765,Expert
13,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,3169,2,-67,1698,Expert
14,Good Bye 2020,Dec/30/2020 17:35,1571,5,63,1761,Expert
15,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,2262,2,-45,1716,Expert
16,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,2570,3,-27,1689,Expert
17,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,2747,2,-38,1651,Expert
18,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,373,3,124,1775,Expert
19,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,308,5,92,1867,Expert
20,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,748,3,5,1872,Expert
21,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,423,3,36,1908,Candidate Master
22,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,222,4,59,1967,Candidate Master
23,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,608,4,-16,1951,Candidate Master
24,Codeforces Round 722 (Div. 1),May/24/2021 17:35,659,2,1,1952,Candidate Master
25,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,263,4,35,1987,Candidate Master
26,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,320,5,12,1999,Candidate Master
27,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,60,4,91,2090,Candidate Master
28,Codeforces Global Round 22,Sep/30/2022 17:35,565,4,26,2116,Master
