#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 3,Mar/07/2010 15:00,53,3,109,1609,Expert
2,Codeforces Beta Round 5,Mar/20/2010 19:00,13,5,159,1768,Expert
3,Codeforces Beta Round 7,Apr/01/2010 19:45,57,4,-13,1755,Expert
4,Codeforces Beta Round 8,Apr/08/2010 19:45,21,3,74,1829,Expert
5,Codeforces Beta Round 10,Apr/15/2010 19:45,48,3,18,1847,Expert
6,Codeforces Beta Round 11,Apr/26/2010 19:00,5,4,111,1958,Candidate Master
7,Codeforces Beta Round 13,May/06/2010 18:00,62,3,-69,1889,Expert
8,Codeforces Beta Round 17,Jun/10/2010 19:00,4,4,112,2001,Candidate Master
9,Codeforces Beta Round 19,Jun/24/2010 19:00,142,2,-121,1880,Expert
10,Codeforces Beta Round 23,Jul/09/2010 19:00,36,2,45,1925,Candidate Master
11,Codeforces Beta Round 24,Jul/26/2010 17:00,9,5,111,2036,Candidate Master
12,Codeforces Beta Round 26 (Codeforces format),Aug/16/2010 19:00,11,4,52,2088,Candidate Master
13,Codeforces Beta Round 28 (Codeforces format),Sep/17/2010 19:00,16,3,14,2102,Master
14,Codeforces Beta Round 33 (Codeforces format),Oct/07/2010 19:00,33,4,-24,2078,Candidate Master
15,Codeforces Beta Round 36,Oct/19/2010 14:00,56,2,-79,1999,Candidate Master
16,Codeforces Beta Round 37,Oct/25/2010 19:00,18,4,77,2076,Candidate Master
17,Codeforces Beta Round 41,Nov/18/2010 19:00,12,3,50,2126,Master
18,School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round 43 (ACM-ICPC Rules),Dec/05/2010 11:00,76,5,-104,2022,Candidate Master
19,School Personal Contest #3 (Winter Computer School 2010/11) - Codeforces Beta Round 45 (ACM-ICPC Rules),Dec/12/2010 11:00,49,4,-43,1979,Candidate Master
20,Codeforces Beta Round 51,Jan/14/2011 11:00,200,2,-124,1855,Expert
21,Codeforces Beta Round 53,Jan/25/2011 19:00,18,3,160,2015,Candidate Master
22,Codeforces Beta Round 56,Feb/19/2011 19:00,30,3,75,2090,Candidate Master
23,Codeforces Beta Round 60,Mar/05/2011 19:00,44,1,22,2112,Master
24,Manthan 2011,Mar/13/2011 19:30,22,4,57,2169,Master
25,Codeforces Beta Round 62,Mar/18/2011 19:00,31,3,33,2202,Master
26,Codeforces Beta Round 64,Mar/26/2011 19:00,21,3,41,2243,Master
27,Codeforces Beta Round 66,Apr/10/2011 12:00,70,2,-83,2160,Master
28,Codeforces Beta Round 68,Apr/15/2011 19:00,128,2,-88,2072,Candidate Master
29,Codeforces Beta Round 69 (Div. 1 Only),Apr/19/2011 19:15,64,3,30,2102,Master
30,Codeforces Beta Round 71,Apr/30/2011 19:00,11,3,97,2199,Master
31,Yandex.Algorithm Open 2011: Qualification 1,May/04/2011 09:00,304,2,-142,2057,Candidate Master
32,Codeforces Beta Round 72 (Div. 1 Only),May/13/2011 19:10,43,3,75,2132,Master
33,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,87,3,53,2185,Master
34,Yandex.Algorithm 2011: Round 2,May/22/2011 19:10,7,3,118,2303,International Master
35,Codeforces Beta Round 73 (Div. 1 Only),Jun/07/2011 19:00,36,3,-6,2297,Master
36,Codeforces Beta Round 74 (Div. 1 Only),Jun/16/2011 19:00,15,3,48,2345,International Master
37,Codeforces Beta Round 75 (Div. 1 Only),Jun/20/2011 19:00,66,2,-68,2277,Master
38,Yandex.Algorithm 2011: Finals,Jul/15/2011 16:00,27,1,-20,2257,Master
39,Codeforces Beta Round 80 (Div. 1 Only),Aug/07/2011 15:00,62,3,-61,2196,Master
40,Codeforces Beta Round 81,Aug/13/2011 19:00,7,2,73,2269,Master
41,Codeforces Beta Round 85 (Div. 1 Only),Sep/03/2011 16:00,312,1,-79,2190,Master
42,Codeforces Beta Round 87 (Div. 1 Only),Sep/15/2011 19:00,273,2,-78,2112,Master
43,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,24,3,79,2191,Master
44,Codeforces Beta Round 93 (Div. 1 Only),Nov/09/2011 21:00,84,2,-31,2160,Master
45,Codeforces Beta Round 94 (Div. 1 Only),Nov/15/2011 10:10,7,4,99,2259,Master
46,Codeforces Beta Round 96 (Div. 1),Dec/03/2011 19:00,27,4,24,2283,Master
47,Codeforces Beta Round 97 (Div. 1),Dec/09/2011 19:05,13,3,66,2349,International Master
48,Codeforces Round 102 (Div. 1),Jan/12/2012 19:05,28,3,42,2391,International Master
49,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,256,2,-92,2299,Master
50,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,28,3,53,2352,International Master
51,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,24,3,43,2395,International Master
52,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,66,2,-56,2339,International Master
53,Codeforces Round 115,Apr/14/2012 12:00,2,5,58,2397,International Master
54,Croc Champ 2012 - Round 2,Apr/20/2012 19:05,15,4,16,2413,Grandmaster
55,"Bayan 2012-2013 Elimination Round (ACM ICPC Rules, English statements)",Nov/01/2012 19:30,171,3,-97,2316,International Master
56,Codeforces Round 150 (Div. 1),Nov/16/2012 19:30,33,2,9,2325,International Master
57,Codeforces Round 157 (Div. 1),Dec/22/2012 19:30,20,4,49,2374,International Master
58,MemSQL start[c]up Round 1,Jul/13/2013 21:00,15,3,68,2442,Grandmaster
59,MemSQL start[c]up Round 2 - online version,Aug/03/2013 21:00,7,4,48,2490,Grandmaster
60,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,64,3,-52,2438,Grandmaster
61,Codeforces Round 223 (Div. 1),Jan/12/2014 19:30,7,3,65,2503,Grandmaster
62,Codeforces Round 240 (Div. 1),Apr/06/2014 19:40,300,2,-105,2398,International Master
63,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,25,4,40,2438,Grandmaster
64,Codeforces Round 248 (Div. 1),May/24/2014 11:00,90,1,-70,2368,International Master
65,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,6,4,88,2456,Grandmaster
66,Zepto Code Rush 2014,Jun/13/2014 19:30,82,3,-23,2433,Grandmaster
67,Codeforces Round 253 (Div. 1),Jun/19/2014 19:30,22,3,33,2466,Grandmaster
68,Codeforces Round 254 (Div. 1),Jul/06/2014 17:05,23,3,13,2479,Grandmaster
69,Codeforces Round #FF (Div. 1),Jul/13/2014 17:00,108,2,-76,2403,Grandmaster
70,Codeforces Round 257 (Div. 1),Jul/19/2014 17:00,11,4,63,2466,Grandmaster
71,MemSQL Start[c]UP 2.0 - Round 1,Jul/27/2014 21:00,157,3,-81,2385,International Master
72,Codeforces Round 260 (Div. 1),Aug/08/2014 19:30,3,4,111,2496,Grandmaster
73,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,27,3,29,2525,Grandmaster
74,Codeforces Round 263 (Div. 1),Aug/26/2014 18:00,15,4,45,2570,Grandmaster
75,Codeforces Round 268 (Div. 1),Sep/20/2014 17:00,8,3,35,2605,International Grandmaster
76,Codeforces Round 270,Sep/28/2014 19:35,13,5,19,2624,International Grandmaster
77,Bayan 2015 Contest Warm Up,Oct/05/2014 17:00,214,3,-126,2498,Grandmaster
78,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,447,1,-113,2385,International Master
79,Codeforces Round 275 (Div. 1),Oct/24/2014 21:00,136,2,-71,2314,International Master
80,Codeforces Round 282 (Div. 1),Dec/13/2014 19:30,282,2,-92,2222,Master
81,Codeforces Round 283 (Div. 1),Dec/17/2014 19:30,32,3,113,2335,International Master
82,Good Bye 2014,Dec/30/2014 18:00,54,5,83,2418,Grandmaster
