#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,2190,2,537,537,Newbie
2,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,3531,3,359,896,Newbie
3,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,7649,0,111,1007,Newbie
4,Codeforces Global Round 13,Feb/28/2021 16:35,5611,2,137,1144,Newbie
5,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,17,7,411,1555,Specialist
6,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,42,5,283,1838,Expert
7,Codeforces Round 723 (Div. 2),May/28/2021 17:05,112,5,129,1967,Candidate Master
8,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,128,5,79,2046,Candidate Master
9,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,817,4,-10,2036,Candidate Master
10,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,247,4,31,2067,Candidate Master
11,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,543,4,-27,2040,Candidate Master
12,Codeforces Global Round 16,Sep/12/2021 17:35,598,6,40,2080,Candidate Master
13,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,15,6,128,2208,Master
14,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,95,5,134,2342,International Master
15,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,183,5,43,2385,International Master
16,Codeforces Global Round 24,Nov/26/2022 17:05,284,5,-10,2375,International Master
