#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,113,4,756,756,Newbie
2,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,5,6,689,1445,Specialist
3,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,22,6,415,1860,Expert
4,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,493,4,101,1961,Candidate Master
5,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,1,6,353,2314,International Master
6,Codeforces Global Round 22,Sep/30/2022 17:35,112,6,132,2446,Grandmaster
7,Hello 2023,Jan/03/2023 17:35,165,6,46,2492,Grandmaster
8,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,65,6,83,2575,Grandmaster
9,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,171,6,3,2578,Grandmaster
10,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,106,4,29,2607,International Grandmaster
11,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,72,7,46,2653,International Grandmaster
